(1)ClimateZone,(2)Date,(3)T.Max,(4)T.Min,(5)Rain,(6)Evap,(7)Radn,Mean_Temp
A,1985-04-02,0.150000006,0.0,0.150000006,3.26,3.26,0.075000003
A,1985-04-03,0.050000001,0.0,0.050000001,3.199,3.199,0.0250000005
A,1985-04-04,1.349999905,0.0,1.349999905,3.139,3.139,0.6749999525
A,1985-04-05,0.100000001,0.0,0.100000001,3.079,3.079,0.0500000005
A,1985-04-06,0.0,0.0,0,3.019,3.019,0.0
A,1985-04-07,0.0,0.0,0,2.959,2.959,0.0
A,1985-04-08,0.0,0.0,0,2.899,2.899,0.0
A,1985-04-09,0.0,0.0,0,2.838,2.838,0.0
A,1985-04-10,0.0,0.0,0,2.778,2.778,0.0
A,1985-04-11,0.0,0.0,0,2.718,2.718,0.0
A,1985-04-12,0.0,0.0,0,2.658,2.658,0.0
A,1985-04-13,27.60000038,0.0,27.60000038,2.598,2.598,13.80000019
A,1985-04-14,36.15000153,0.0,36.15000153,2.538,2.538,18.075000765
A,1985-04-15,4.899999619,0.0,4.899999619,2.477,2.477,2.4499998095
A,1985-04-16,6.300000191,0.0,6.300000191,2.417,2.417,3.1500000955
A,1985-04-17,3.450000048,0.0,3.450000048,2.378,2.378,1.725000024
A,1985-04-18,2.400000095,0.0,2.400000095,2.339,2.339,1.2000000475
A,1985-04-19,0.350000024,0.0,0.350000024,2.299,2.299,0.175000012
A,1985-04-20,0.0,0.0,0,2.26,2.26,0.0
A,1985-04-21,0.0,0.0,0,2.221,2.221,0.0
A,1985-04-22,0.0,0.0,0,2.181,2.181,0.0
A,1985-04-23,0.0,0.0,0,2.142,2.142,0.0
A,1985-04-24,0.25,0.0,0.25,2.103,2.103,0.125
A,1985-04-25,0.0,0.0,0,2.063,2.063,0.0
A,1985-04-26,0.0,0.0,0,2.024,2.024,0.0
A,1985-04-27,0.0,0.0,0,1.985,1.985,0.0
A,1985-04-28,0.0,0.0,0,1.945,1.945,0.0
A,1985-04-29,0.0,0.0,0,1.906,1.906,0.0
A,1985-04-30,0.0,0.0,0,1.867,1.867,0.0
A,1986-04-01,0.0,0.0,0,3.345,3.345,0.0
A,1986-04-02,0.0,0.0,0,3.28,3.28,0.0
A,1986-04-03,0.0,0.0,0,3.215,3.215,0.0
A,1986-04-04,0.0,0.0,0,3.15,3.15,0.0
A,1986-04-05,0.0,0.0,0,3.085,3.085,0.0
A,1986-04-06,0.0,0.0,0,3.02,3.02,0.0
A,1986-04-07,0.0,0.0,0,2.955,2.955,0.0
A,1986-04-08,0.0,0.0,0,2.89,2.89,0.0
A,1986-04-09,0.0,0.0,0,2.825,2.825,0.0
A,1986-04-10,0.200000003,0.0,0.200000003,2.76,2.76,0.1000000015
A,1986-04-11,0.0,0.0,0,2.694,2.694,0.0
A,1986-04-12,0.0,0.0,0,2.629,2.629,0.0
A,1986-04-13,0.0,0.0,0,2.564,2.564,0.0
A,1986-04-14,0.150000006,0.0,0.150000006,2.499,2.499,0.075000003
A,1986-04-15,45.90000153,0.0,45.90000153,2.434,2.434,22.950000765
A,1986-04-16,27.90000153,0.0,27.90000153,2.369,2.369,13.950000765
A,1986-04-17,4.050000191,0.0,4.050000191,2.332,2.332,2.0250000955
A,1986-04-18,0.550000012,0.0,0.550000012,2.294,2.294,0.275000006
A,1986-04-19,2.099999905,0.0,2.099999905,2.257,2.257,1.0499999525
A,1986-04-20,5.150000095,0.0,5.150000095,2.219,2.219,2.5750000475
A,1986-04-21,5.5,0.0,5.5,2.182,2.182,2.75
A,1986-04-22,7.0,0.0,7,2.144,2.144,3.5
A,1986-04-23,8.700000763,0.0,8.700000763,2.107,2.107,4.3500003815
A,1986-04-24,8.600000381,0.0,8.600000381,2.07,2.07,4.3000001905
A,1986-04-25,1.799999952,0.0,1.799999952,2.032,2.032,0.899999976
A,1986-04-26,8.300000191,0.0,8.300000191,1.995,1.995,4.1500000955
A,1986-04-27,2.099999905,0.0,2.099999905,1.957,1.957,1.0499999525
A,1986-04-28,0.800000012,0.0,0.800000012,1.92,1.92,0.400000006
A,1986-04-29,1.149999976,0.0,1.149999976,1.882,1.882,0.574999988
A,1986-04-30,0.850000024,0.0,0.850000024,1.845,1.845,0.425000012
A,1987-04-01,0.0,0.0,0,3.208,3.208,0.0
A,1987-04-02,0.0,0.0,0,3.158,3.158,0.0
A,1987-04-03,0.0,0.0,0,3.108,3.108,0.0
A,1987-04-04,0.25,0.0,0.25,3.057,3.057,0.125
A,1987-04-05,0.350000024,0.0,0.350000024,3.007,3.007,0.175000012
A,1987-04-06,4.5,0.0,4.5,2.956,2.956,2.25
A,1987-04-07,0.150000006,0.0,0.150000006,2.906,2.906,0.075000003
A,1987-04-08,0.050000001,0.0,0.050000001,2.856,2.856,0.0250000005
A,1987-04-09,0.0,0.0,0,2.805,2.805,0.0
A,1987-04-10,0.0,0.0,0,2.755,2.755,0.0
A,1987-04-11,0.0,0.0,0,2.705,2.705,0.0
A,1987-04-12,0.649999976,0.0,0.649999976,2.654,2.654,0.324999988
A,1987-04-13,0.25,0.0,0.25,2.604,2.604,0.125
A,1987-04-14,0.0,0.0,0,2.554,2.554,0.0
A,1987-04-15,0.0,0.0,0,2.503,2.503,0.0
