(1)ClimateZone,(2)Date,(3)T.Max,(4)T.Min,(5)Rain,(6)Evap,(7)Radn,Mean_Temp
A,1985-05-02,0.300000012,0.0,0.300000012,1.788,1.788,0.150000006
A,1985-05-03,0.0,0.0,0,1.749,1.749,0.0
A,1985-05-04,1.149999976,0.0,1.149999976,1.709,1.709,0.574999988
A,1985-05-05,9.149999619,0.0,9.149999619,1.67,1.67,4.5749998095
A,1985-05-06,4.149999619,0.0,4.149999619,1.631,1.631,2.0749998095
A,1985-05-07,8.75,0.0,8.75,1.591,1.591,4.375
A,1985-05-08,2.849999905,0.0,2.849999905,1.552,1.552,1.4249999525
A,1985-05-09,4.199999809,0.0,4.199999809,1.513,1.513,2.0999999045
A,1985-05-10,2.449999809,0.0,2.449999809,1.473,1.473,1.2249999045
A,1985-05-11,0.0,0.0,0,1.434,1.434,0.0
A,1985-05-12,0.0,0.0,0,1.395,1.395,0.0
A,1985-05-13,0.700000048,0.0,0.700000048,1.355,1.355,0.350000024
A,1985-05-14,6.550000191,0.0,6.550000191,1.316,1.316,3.2750000955
A,1985-05-15,24.34999847,0.0,24.34999847,1.277,1.277,12.174999235
A,1985-05-16,0.150000006,0.0,0.150000006,1.237,1.237,0.075000003
A,1985-05-17,19.95000076,0.0,19.95000076,1.221,1.221,9.97500038
A,1985-05-18,4.0,0.0,4,1.205,1.205,2.0
A,1985-05-19,0.050000001,0.0,0.050000001,1.189,1.189,0.0250000005
A,1985-05-20,0.350000024,0.0,0.350000024,1.173,1.173,0.175000012
A,1985-05-21,0.0,0.0,0,1.157,1.157,0.0
A,1985-05-22,0.350000024,0.0,0.350000024,1.141,1.141,0.175000012
A,1985-05-23,0.0,0.0,0,1.124,1.124,0.0
A,1985-05-24,0.0,0.0,0,1.108,1.108,0.0
A,1985-05-25,0.0,0.0,0,1.092,1.092,0.0
A,1985-05-26,0.0,0.0,0,1.076,1.076,0.0
A,1985-05-27,23.25,0.0,23.25,1.06,1.06,11.625
A,1985-05-28,15.10000038,0.0,15.10000038,1.044,1.044,7.55000019
A,1985-05-29,1.0,0.0,1,1.028,1.028,0.5
A,1985-05-30,5.25,0.0,5.25,1.012,1.012,2.625
A,1985-05-31,0.050000001,0.0,0.050000001,0.996,0.996,0.0250000005
A,1986-05-01,0.050000001,0.0,0.050000001,1.807,1.807,0.0250000005
A,1986-05-02,0.0,0.0,0,1.77,1.77,0.0
A,1986-05-03,0.0,0.0,0,1.732,1.732,0.0
A,1986-05-04,0.200000003,0.0,0.200000003,1.695,1.695,0.1000000015
A,1986-05-05,0.0,0.0,0,1.658,1.658,0.0
A,1986-05-06,0.949999988,0.0,0.949999988,1.62,1.62,0.474999994
A,1986-05-07,0.400000006,0.0,0.400000006,1.583,1.583,0.200000003
A,1986-05-08,2.450000048,0.0,2.450000048,1.545,1.545,1.225000024
A,1986-05-09,3.400000095,0.0,3.400000095,1.508,1.508,1.7000000475
A,1986-05-10,0.350000024,0.0,0.350000024,1.47,1.47,0.175000012
A,1986-05-11,0.600000024,0.0,0.600000024,1.433,1.433,0.300000012
A,1986-05-12,0.0,0.0,0,1.395,1.395,0.0
A,1986-05-13,0.0,0.0,0,1.358,1.358,0.0
A,1986-05-14,0.550000012,0.0,0.550000012,1.321,1.321,0.275000006
A,1986-05-15,10.69999981,0.0,10.69999981,1.283,1.283,5.349999905
A,1986-05-16,16.20000076,0.0,16.20000076,1.246,1.246,8.10000038
A,1986-05-17,5.149999619,0.0,5.149999619,1.229,1.229,2.5749998095
