(1)ClimateZone,(2)Date,(3)T.Max,(4)T.Min,(5)Rain,(6)Evap,(7)Radn,Mean_Temp
A,1985-11-02,0.0,0.0,0,4.463,4.463,0.0
A,1985-11-03,0.200000003,0.0,0.200000003,4.506,4.506,0.1000000015
A,1985-11-04,3.450000048,0.0,3.450000048,4.549,4.549,1.725000024
A,1985-11-05,0.200000003,0.0,0.200000003,4.592,4.592,0.1000000015
A,1985-11-06,0.0,0.0,0,4.635,4.635,0.0
A,1985-11-07,0.0,0.0,0,4.678,4.678,0.0
A,1985-11-08,0.0,0.0,0,4.721,4.721,0.0
A,1985-11-09,0.699999988,0.0,0.699999988,4.763,4.763,0.349999994
A,1985-11-10,4.149999619,0.0,4.149999619,4.806,4.806,2.0749998095
A,1985-11-11,0.0,0.0,0,4.849,4.849,0.0
A,1985-11-12,0.0,0.0,0,4.892,4.892,0.0
A,1985-11-13,0.950000048,0.0,0.950000048,4.935,4.935,0.475000024
A,1985-11-14,0.0,0.0,0,4.978,4.978,0.0
A,1985-11-15,0.0,0.0,0,5.021,5.021,0.0
A,1985-11-16,0.200000003,0.0,0.200000003,5.064,5.064,0.1000000015
A,1985-11-17,0.0,0.0,0,5.08,5.08,0.0
A,1985-11-18,0.0,0.0,0,5.096,5.096,0.0
A,1985-11-19,0.0,0.0,0,5.113,5.113,0.0
A,1985-11-20,0.0,0.0,0,5.129,5.129,0.0
A,1985-11-21,0.0,0.0,0,5.145,5.145,0.0
A,1985-11-22,0.0,0.0,0,5.162,5.162,0.0
A,1985-11-23,1.200000048,0.0,1.200000048,5.178,5.178,0.600000024
A,1985-11-24,1.400000095,0.0,1.400000095,5.195,5.195,0.7000000475
A,1985-11-25,15.89999962,0.0,15.89999962,5.211,5.211,7.94999981
A,1985-11-26,1.950000048,0.0,1.950000048,5.227,5.227,0.975000024
A,1985-11-27,0.349999994,0.0,0.349999994,5.244,5.244,0.174999997
A,1985-11-28,0.100000001,0.0,0.100000001,5.26,5.26,0.0500000005
A,1985-11-29,0.200000003,0.0,0.200000003,5.276,5.276,0.1000000015
A,1985-11-30,0.899999976,0.0,0.899999976,5.293,5.293,0.449999988
A,1986-11-01,0.100000001,0.0,0.100000001,4.335,4.335,0.0500000005
A,1986-11-02,0.0,0.0,0,4.384,4.384,0.0
A,1986-11-03,0.0,0.0,0,4.432,4.432,0.0
A,1986-11-04,0.0,0.0,0,4.481,4.481,0.0
A,1986-11-05,0.200000003,0.0,0.200000003,4.53,4.53,0.1000000015
A,1986-11-06,0.0,0.0,0,4.579,4.579,0.0
A,1986-11-07,0.0,0.0,0,4.628,4.628,0.0
A,1986-11-08,0.0,0.0,0,4.677,4.677,0.0
A,1986-11-09,0.0,0.0,0,4.726,4.726,0.0
A,1986-11-10,0.0,0.0,0,4.775,4.775,0.0
A,1986-11-11,0.0,0.0,0,4.824,4.824,0.0
A,1986-11-12,0.0,0.0,0,4.873,4.873,0.0
A,1986-11-13,0.0,0.0,0,4.922,4.922,0.0
A,1986-11-14,0.300000012,0.0,0.300000012,4.97,4.97,0.150000006
A,1986-11-15,0.0,0.0,0,5.019,5.019,0.0
A,1986-11-16,0.150000006,0.0,0.150000006,5.068,5.068,0.075000003
A,1986-11-17,11.10000038,0.0,11.10000038,5.086,5.086,5.55000019
A,1986-11-18,0.649999976,0.0,0.649999976,5.103,5.103,0.324999988
A,1986-11-19,0.150000006,0.0,0.150000006,5.121,5.121,0.075000003
A,1986-11-20,0.150000006,0.0,0.150000006,5.139,5.139,0.075000003
A,1986-11-21,0.0,0.0,0,5.156,5.156,0.0
A,1986-11-22,0.0,0.0,0,5.174,5.174,0.0
A,1986-11-23,0.0,0.0,0,5.191,5.191,0.0
A,1986-11-24,0.0,0.0,0,5.209,5.209,0.0
A,1986-11-25,0.0,0.0,0,5.227,5.227,0.0
A,1986-11-26,0.0,0.0,0,5.244,5.244,0.0
A,1986-11-27,0.0,0.0,0,5.262,5.262,0.0
A,1986-11-28,0.0,0.0,0,5.279,5.279,0.0
A,1986-11-29,0.0,0.0,0,5.297,5.297,0.0
A,1986-11-30,0.0,0.0,0,5.315,5.315,0.0
A,1987-11-01,0.25,0.0,0.25,4.461,4.461,0.125
A,1987-11-02,2.5,0.0,2.5,4.51,4.51,1.25
A,1987-11-03,0.100000001,0.0,0.100000001,4.56,4.56,0.0500000005
A,1987-11-04,0.0,0.0,0,4.61,4.61,0.0
A,1987-11-05,0.100000001,0.0,0.100000001,4.66,4.66,0.0500000005
A,1987-11-06,0.0,0.0,0,4.71,4.71,0.0
A,1987-11-07,0.0,0.0,0,4.76,4.76,0.0
A,1987-11-08,0.0,0.0,0,4.81,4.81,0.0
A,1987-11-09,0.0,0.0,0,4.86,4.86,0.0
A,1987-11-10,0.0,0.0,0,4.909,4.909,0.0
A,1987-11-11,0.0,0.0,0,4.959,4.959,0.0
A,1987-11-12,0.0,0.0,0,5.009,5.009,0.0
A,1987-11-13,0.0,0.0,0,5.059,5.059,0.0
A,1987-11-14,0.0,0.0,0,5.109,5.109,0.0
A,1987-11-15,0.0,0.0,0,5.159,5.159,0.0
A,1987-11-16,0.150000006,0.0,0.150000006,5.209,5.209,0.075000003
A,1987-11-17,0.0,0.0,0,5.23,5.23,0.0
A,1987-11-18,0.100000001,0.0,0.100000001,5.25,5.25,0.0500000005
A,1987-11-19,0.5,0.0,0.5,5.271,5.271,0.25
A,1987-11-20,0.300000012,0.0,0.300000012,5.292,5.292,0.150000006
A,1987-11-21,0.400000006,0.0,0.400000006,5.313,5.313,0.200000003
A,1987-11-22,0.400000006,0.0,0.400000006,5.334,5.334,0.200000003
A,1987-11-23,1.200000048,0.0,1.200000048,5.355,5.355,0.600000024
A,1987-11-24,2.799999952,0.0,2.799999952,5.376,5.376,1.399999976
A,1987-11-25,6.149999619,0.0,6.149999619,5.396,5.396,3.0749998095
A,1987-11-26,0.0,0.0,0,5.417,5.417,0.0
A,1987-11-27,0.0,0.0,0,5.438,5.438,0.0
A,1987-11-28,0.0,0.0,0,5.459,5.459,0.0
A,1987-11-29,0.0,0.0,0,5.48,5.48,0.0
A,1987-11-30,32.65000153,0.0,32.65000153,5.501,5.501,16.325000765
A,1988-11-01,0.0,0.0,0,4.425,4.425,0.0
A,1988-11-02,0.150000006,0.0,0.150000006,4.461,4.461,0.075000003
A,1988-11-03,12.80000019,0.0,12.80000019,4.496,4.496,6.400000095
A,1988-11-04,0.200000003,0.0,0.200000003,4.531,4.531,0.1000000015
A,1988-11-05,0.0,0.0,0,4.566,4.566,0.0
A,1988-11-06,0.0,0.0,0,4.602,4.602,0.0
A,1988-11-07,0.75,0.0,0.75,4.637,4.637,0.375
A,1988-11-08,0.400000006,0.0,0.400000006,4.672,4.672,0.200000003
A,1988-11-09,0.0,0.0,0,4.707,4.707,0.0
A,1988-11-10,0.0,0.0,0,4.743,4.743,0.0
A,1988-11-11,0.0,0.0,0,4.778,4.778,0.0
A,1988-11-12,0.0,0.0,0,4.813,4.813,0.0
A,1988-11-13,0.75,0.0,0.75,4.848,4.848,0.375
A,1988-11-14,2.099999905,0.0,2.099999905,4.884,4.884,1.0499999525
A,1988-11-15,0.600000024,0.0,0.600000024,4.919,4.919,0.300000012
A,1988-11-16,0.450000018,0.0,0.450000018,4.954,4.954,0.225000009
A,1988-11-17,0.150000006,0.0,0.150000006,4.987,4.987,0.075000003
A,1988-11-18,0.0,0.0,0,5.019,5.019,0.0
