(1)ClimateZone,(2)Date,(3)T.Max,(4)T.Min,(5)Rain,(6)Evap,(7)Radn,Mean_Temp
A,1985-09-02,2.0,0.0,2,1.994,1.994,1.0
A,1985-09-03,0.0,0.0,0,2.023,2.023,0.0
A,1985-09-04,0.0,0.0,0,2.051,2.051,0.0
A,1985-09-05,0.0,0.0,0,2.08,2.08,0.0
A,1985-09-06,0.0,0.0,0,2.108,2.108,0.0
A,1985-09-07,0.0,0.0,0,2.136,2.136,0.0
A,1985-09-08,0.0,0.0,0,2.165,2.165,0.0
A,1985-09-09,49.34999847,0.0,49.34999847,2.193,2.193,24.674999235
A,1985-09-10,8.25,0.0,8.25,2.222,2.222,4.125
A,1985-09-11,0.25,0.0,0.25,2.25,2.25,0.125
A,1985-09-12,12.55000019,0.0,12.55000019,2.278,2.278,6.275000095
A,1985-09-13,2.849999905,0.0,2.849999905,2.307,2.307,1.4249999525
A,1985-09-14,0.150000006,0.0,0.150000006,2.335,2.335,0.075000003
A,1985-09-15,0.850000024,0.0,0.850000024,2.364,2.364,0.425000012
A,1985-09-16,0.100000001,0.0,0.100000001,2.392,2.392,0.0500000005
A,1985-09-17,3.599999905,0.0,3.599999905,2.437,2.437,1.7999999525
A,1985-09-18,0.400000006,0.0,0.400000006,2.481,2.481,0.200000003
A,1985-09-19,0.450000018,0.0,0.450000018,2.526,2.526,0.225000009
A,1985-09-20,0.300000012,0.0,0.300000012,2.571,2.571,0.150000006
A,1985-09-21,0.0,0.0,0,2.616,2.616,0.0
A,1985-09-22,0.0,0.0,0,2.66,2.66,0.0
A,1985-09-23,0.449999988,0.0,0.449999988,2.705,2.705,0.224999994
A,1985-09-24,9.0,0.0,9,2.75,2.75,4.5
A,1985-09-25,8.25,0.0,8.25,2.795,2.795,4.125
A,1985-09-26,1.049999952,0.0,1.049999952,2.839,2.839,0.524999976
A,1985-09-27,1.450000048,0.0,1.450000048,2.884,2.884,0.725000024
A,1985-09-28,0.100000001,0.0,0.100000001,2.929,2.929,0.0500000005
A,1985-09-29,0.0,0.0,0,2.974,2.974,0.0
A,1985-09-30,0.0,0.0,0,3.018,3.018,0.0
A,1986-09-01,1.949999928,0.0,1.949999928,1.981,1.981,0.974999964
A,1986-09-02,0.100000001,0.0,0.100000001,2.011,2.011,0.0500000005
A,1986-09-03,0.0,0.0,0,2.04,2.04,0.0
A,1986-09-04,0.0,0.0,0,2.07,2.07,0.0
A,1986-09-05,6.050000191,0.0,6.050000191,2.1,2.1,3.0250000955
A,1986-09-06,0.25,0.0,0.25,2.129,2.129,0.125
A,1986-09-07,0.150000006,0.0,0.150000006,2.159,2.159,0.075000003
A,1986-09-08,0.0,0.0,0,2.188,2.188,0.0
A,1986-09-09,0.0,0.0,0,2.218,2.218,0.0
A,1986-09-10,0.050000001,0.0,0.050000001,2.247,2.247,0.0250000005
A,1986-09-11,30.25,0.0,30.25,2.277,2.277,15.125
A,1986-09-12,24.35000038,0.0,24.35000038,2.306,2.306,12.17500019
A,1986-09-13,3.099999905,0.0,3.099999905,2.336,2.336,1.5499999525
A,1986-09-14,0.850000024,0.0,0.850000024,2.365,2.365,0.425000012
A,1986-09-15,14.14999962,0.0,14.14999962,2.395,2.395,7.07499981
A,1986-09-16,16.45000076,0.0,16.45000076,2.424,2.424,8.22500038
A,1986-09-17,3.349999905,0.0,3.349999905,2.462,2.462,1.6749999525
A,1986-09-18,0.200000003,0.0,0.200000003,2.5,2.5,0.1000000015
A,1986-09-19,4.0,0.0,4,2.537,2.537,2.0
A,1986-09-20,4.099999905,0.0,4.099999905,2.575,2.575,2.0499999525
A,1986-09-21,1.099999905,0.0,1.099999905,2.612,2.612,0.5499999525
A,1986-09-22,0.0,0.0,0,2.65,2.65,0.0
A,1986-09-23,0.75,0.0,0.75,2.687,2.687,0.375
A,1986-09-24,6.5,0.0,6.5,2.725,2.725,3.25
A,1986-09-25,0.25,0.0,0.25,2.763,2.763,0.125
A,1986-09-26,0.050000001,0.0,0.050000001,2.8,2.8,0.0250000005
A,1986-09-27,0.200000003,0.0,0.200000003,2.838,2.838,0.1000000015
A,1986-09-28,0.100000001,0.0,0.100000001,2.875,2.875,0.0500000005
A,1986-09-29,0.0,0.0,0,2.913,2.913,0.0
A,1986-09-30,0.0,0.0,0,2.951,2.951,0.0
A,1987-09-01,0.0,0.0,0,2.038,2.038,0.0
A,1987-09-02,0.349999994,0.0,0.349999994,2.07,2.07,0.174999997
A,1987-09-03,0.100000001,0.0,0.100000001,2.103,2.103,0.0500000005
A,1987-09-04,0.350000024,0.0,0.350000024,2.136,2.136,0.175000012
A,1987-09-05,4.400000095,0.0,4.400000095,2.169,2.169,2.2000000475
A,1987-09-06,2.5,0.0,2.5,2.202,2.202,1.25
A,1987-09-07,7.199999809,0.0,7.199999809,2.234,2.234,3.5999999045
A,1987-09-08,9.800000191,0.0,9.800000191,2.267,2.267,4.9000000955
A,1987-09-09,0.050000001,0.0,0.050000001,2.3,2.3,0.0250000005
A,1987-09-10,0.0,0.0,0,2.333,2.333,0.0
A,1987-09-11,0.0,0.0,0,2.366,2.366,0.0
A,1987-09-12,0.100000001,0.0,0.100000001,2.398,2.398,0.0500000005
A,1987-09-13,0.400000006,0.0,0.400000006,2.431,2.431,0.200000003
A,1987-09-14,0.150000006,0.0,0.150000006,2.464,2.464,0.075000003
A,1987-09-15,0.0,0.0,0,2.497,2.497,0.0
A,1987-09-16,0.0,0.0,0,2.529,2.529,0.0
A,1987-09-17,0.050000001,0.0,0.050000001,2.567,2.567,0.0250000005
A,1987-09-18,0.150000006,0.0,0.150000006,2.605,2.605,0.075000003
A,1987-09-19,2.700000048,0.0,2.700000048,2.643,2.643,1.350000024
A,1987-09-20,0.400000006,0.0,0.400000006,2.681,2.681,0.200000003
A,1987-09-21,0.0,0.0,0,2.718,2.718,0.0
A,1987-09-22,0.0,0.0,0,2.756,2.756,0.0
A,1987-09-23,0.050000001,0.0,0.050000001,2.794,2.794,0.0250000005
A,1987-09-24,0.0,0.0,0,2.832,2.832,0.0
A,1987-09-25,0.0,0.0,0,2.869,2.869,0.0
A,1987-09-26,0.100000001,0.0,0.100000001,2.907,2.907,0.0500000005
A,1987-09-27,1.299999952,0.0,1.299999952,2.945,2.945,0.649999976
A,1987-09-28,1.75,0.0,1.75,2.983,2.983,0.875
A,1987-09-29,8.649999619,0.0,8.649999619,3.02,3.02,4.3249998095
A,1987-09-30,0.0,0.0,0,3.058,3.058,0.0
A,1988-09-01,0.0,0.0,0,2.083,2.083,0.0
A,1988-09-02,7.099999905,0.0,7.099999905,2.116,2.116,3.5499999525
A,1988-09-03,0.200000003,0.0,0.200000003,2.149,2.149,0.1000000015
A,1988-09-04,0.25,0.0,0.25,2.183,2.183,0.125
A,1988-09-05,0.649999976,0.0,0.649999976,2.216,2.216,0.324999988
A,1988-09-06,0.0,0.0,0,2.249,2.249,0.0
A,1988-09-07,0.0,0.0,0,2.282,2.282,0.0
A,1988-09-08,0.150000006,0.0,0.150000006,2.315,2.315,0.075000003
A,1988-09-09,11.44999981,0.0,11.44999981,2.349,2.349,5.724999905
A,1988-09-10,10.04999924,0.0,10.04999924,2.382,2.382,5.02499962
A,1988-09-11,23.90000153,0.0,23.90000153,2.415,2.415,11.950000765
A,1988-09-12,7.449999809,0.0,7.449999809,2.448,2.448,3.7249999045
A,1988-09-13,0.0,0.0,0,2.482,2.482,0.0
A,1988-09-14,0.0,0.0,0,2.515,2.515,0.0
A,1988-09-15,0.100000001,0.0,0.100000001,2.548,2.548,0.0500000005
A,1988-09-16,27.5,0.0,27.5,2.581,2.581,13.75
A,1988-09-17,1.5,0.0,1.5,2.624,2.624,0.75
A,1988-09-18,9.350000381,0.0,9.350000381,2.667,2.667,4.6750001905
A,1988-09-19,0.0,0.0,0,2.709,2.709,0.0
A,1988-09-20,0.0,0.0,0,2.752,2.752,0.0
A,1988-09-21,0.0,0.0,0,2.795,2.795,0.0
A,1988-09-22,1.599999905,0.0,1.599999905,2.837,2.837,0.7999999525
A,1988-09-23,2.950000048,0.0,2.950000048,2.88,2.88,1.475000024
A,1988-09-24,0.150000006,0.0,0.150000006,2.923,2.923,0.075000003
A,1988-09-25,0.350000024,0.0,0.350000024,2.965,2.965,0.175000012
A,1988-09-26,0.150000006,0.0,0.150000006,3.008,3.008,0.075000003
A,1988-09-27,0.0,0.0,0,3.051,3.051,0.0
A,1988-09-28,0.0,0.0,0,3.093,3.093,0.0
A,1988-09-29,0.850000024,0.0,0.850000024,3.136,3.136,0.425000012
