(1)ClimateZone,(2)Date,(3)T.Max,(4)T.Min,(5)Rain,(6)Evap,(7)Radn,Mean_Temp
A,1985-01-02,2.900000095,0.0,2.900000095,6.093,6.093,1.4500000475
A,1985-01-03,0.100000001,0.0,0.100000001,6.108,6.108,0.0500000005
A,1985-01-04,0.649999976,0.0,0.649999976,6.124,6.124,0.324999988
A,1985-01-05,0.0,0.0,0,6.14,6.14,0.0
A,1985-01-06,0.0,0.0,0,6.155,6.155,0.0
A,1985-01-07,0.0,0.0,0,6.171,6.171,0.0
A,1985-01-08,0.0,0.0,0,6.187,6.187,0.0
A,1985-01-09,0.0,0.0,0,6.203,6.203,0.0
A,1985-01-10,0.0,0.0,0,6.218,6.218,0.0
A,1985-01-11,0.0,0.0,0,6.234,6.234,0.0
A,1985-01-12,0.0,0.0,0,6.25,6.25,0.0
A,1985-01-13,0.0,0.0,0,6.266,6.266,0.0
A,1985-01-14,0.0,0.0,0,6.281,6.281,0.0
A,1985-01-15,0.0,0.0,0,6.297,6.297,0.0
A,1985-01-16,0.0,0.0,0,6.313,6.313,0.0
A,1985-01-17,0.0,0.0,0,6.288,6.288,0.0
A,1985-01-18,0.0,0.0,0,6.263,6.263,0.0
A,1985-01-19,0.0,0.0,0,6.238,6.238,0.0
A,1985-01-20,0.0,0.0,0,6.213,6.213,0.0
A,1985-01-21,0.0,0.0,0,6.188,6.188,0.0
A,1985-01-22,0.0,0.0,0,6.163,6.163,0.0
A,1985-01-23,0.0,0.0,0,6.138,6.138,0.0
A,1985-01-24,0.0,0.0,0,6.113,6.113,0.0
A,1985-01-25,0.0,0.0,0,6.088,6.088,0.0
A,1985-01-26,0.0,0.0,0,6.063,6.063,0.0
A,1985-01-27,0.0,0.0,0,6.038,6.038,0.0
A,1985-01-28,0.0,0.0,0,6.014,6.014,0.0
A,1985-01-29,0.0,0.0,0,5.989,5.989,0.0
A,1985-01-30,0.0,0.0,0,5.964,5.964,0.0
A,1985-01-31,0.0,0.0,0,5.939,5.939,0.0
A,1986-01-01,0.0,0.0,0,5.845,5.845,0.0
A,1986-01-02,0.0,0.0,0,5.863,5.863,0.0
A,1986-01-03,0.0,0.0,0,5.881,5.881,0.0
A,1986-01-04,0.0,0.0,0,5.899,5.899,0.0
A,1986-01-05,0.0,0.0,0,5.917,5.917,0.0
A,1986-01-06,0.0,0.0,0,5.936,5.936,0.0
A,1986-01-07,0.100000001,0.0,0.100000001,5.954,5.954,0.0500000005
A,1986-01-08,0.0,0.0,0,5.972,5.972,0.0
A,1986-01-09,0.150000006,0.0,0.150000006,5.99,5.99,0.075000003
A,1986-01-10,0.0,0.0,0,6.008,6.008,0.0
A,1986-01-11,0.0,0.0,0,6.026,6.026,0.0
A,1986-01-12,0.0,0.0,0,6.044,6.044,0.0
A,1986-01-13,0.25,0.0,0.25,6.063,6.063,0.125
A,1986-01-14,4.400000095,0.0,4.400000095,6.081,6.081,2.2000000475
A,1986-01-15,4.699999809,0.0,4.699999809,6.099,6.099,2.3499999045
A,1986-01-16,0.300000012,0.0,0.300000012,6.117,6.117,0.150000006
A,1986-01-17,0.0,0.0,0,6.096,6.096,0.0
A,1986-01-18,0.0,0.0,0,6.074,6.074,0.0
A,1986-01-19,0.0,0.0,0,6.053,6.053,0.0
A,1986-01-20,0.0,0.0,0,6.031,6.031,0.0
A,1986-01-21,0.0,0.0,0,6.01,6.01,0.0
A,1986-01-22,0.0,0.0,0,5.988,5.988,0.0
A,1986-01-23,0.0,0.0,0,5.967,5.967,0.0
A,1986-01-24,0.0,0.0,0,5.946,5.946,0.0
A,1986-01-25,0.0,0.0,0,5.924,5.924,0.0
A,1986-01-26,0.0,0.0,0,5.903,5.903,0.0
A,1986-01-27,0.0,0.0,0,5.881,5.881,0.0
A,1986-01-28,0.0,0.0,0,5.86,5.86,0.0
A,1986-01-29,0.0,0.0,0,5.838,5.838,0.0
A,1986-01-30,0.0,0.0,0,5.817,5.817,0.0
A,1986-01-31,0.0,0.0,0,5.795,5.795,0.0
A,1987-01-01,0.050000001,0.0,0.050000001,5.795,5.795,0.0250000005
A,1987-01-02,5.449999809,0.0,5.449999809,5.808,5.808,2.7249999045
A,1987-01-03,0.449999988,0.0,0.449999988,5.82,5.82,0.224999994
A,1987-01-04,0.350000024,0.0,0.350000024,5.833,5.833,0.175000012
A,1987-01-05,0.0,0.0,0,5.845,5.845,0.0
A,1987-01-06,0.0,0.0,0,5.858,5.858,0.0
A,1987-01-07,0.0,0.0,0,5.87,5.87,0.0
A,1987-01-08,0.0,0.0,0,5.883,5.883,0.0
A,1987-01-09,0.0,0.0,0,5.895,5.895,0.0
A,1987-01-10,2.349999905,0.0,2.349999905,5.908,5.908,1.1749999525
A,1987-01-11,0.25,0.0,0.25,5.92,5.92,0.125
A,1987-01-12,0.0,0.0,0,5.932,5.932,0.0
A,1987-01-13,3.5,0.0,3.5,5.945,5.945,1.75
A,1987-01-14,0.0,0.0,0,5.957,5.957,0.0
A,1987-01-15,0.0,0.0,0,5.97,5.97,0.0
A,1987-01-16,0.0,0.0,0,5.982,5.982,0.0
A,1987-01-17,0.0,0.0,0,5.968,5.968,0.0
A,1987-01-18,0.0,0.0,0,5.953,5.953,0.0
A,1987-01-19,0.0,0.0,0,5.939,5.939,0.0
A,1987-01-20,1.600000024,0.0,1.600000024,5.924,5.924,0.800000012
A,1987-01-21,0.0,0.0,0,5.91,5.91,0.0
A,1987-01-22,0.0,0.0,0,5.895,5.895,0.0
A,1987-01-23,0.25,0.0,0.25,5.881,5.881,0.125
A,1987-01-24,18.04999924,0.0,18.04999924,5.866,5.866,9.02499962
A,1987-01-25,0.0,0.0,0,5.852,5.852,0.0
A,1987-01-26,1.0,0.0,1,5.838,5.838,0.5
A,1987-01-27,0.0,0.0,0,5.823,5.823,0.0
A,1987-01-28,0.0,0.0,0,5.809,5.809,0.0
A,1987-01-29,0.0,0.0,0,5.794,5.794,0.0
A,1987-01-30,0.0,0.0,0,5.78,5.78,0.0
A,1987-01-31,0.0,0.0,0,5.765,5.765,0.0
A,1988-01-01,0.0,0.0,0,6.126,6.126,0.0
A,1988-01-02,0.0,0.0,0,6.144,6.144,0.0
A,1988-01-03,0.0,0.0,0,6.162,6.162,0.0
A,1988-01-04,0.0,0.0,0,6.181,6.181,0.0
A,1988-01-05,0.0,0.0,0,6.199,6.199,0.0
A,1988-01-06,0.0,0.0,0,6.217,6.217,0.0
A,1988-01-07,0.0,0.0,0,6.235,6.235,0.0
A,1988-01-08,0.0,0.0,0,6.253,6.253,0.0
A,1988-01-09,0.0,0.0,0,6.272,6.272,0.0
A,1988-01-10,0.0,0.0,0,6.29,6.29,0.0
A,1988-01-11,1.099999905,0.0,1.099999905,6.308,6.308,0.5499999525
A,1988-01-12,0.0,0.0,0,6.326,6.326,0.0
A,1988-01-13,0.25,0.0,0.25,6.344,6.344,0.125
A,1988-01-14,1.75,0.0,1.75,6.363,6.363,0.875
A,1988-01-15,0.0,0.0,0,6.381,6.381,0.0
A,1988-01-16,0.0,0.0,0,6.399,6.399,0.0
A,1988-01-17,0.0,0.0,0,6.366,6.366,0.0
A,1988-01-18,0.0,0.0,0,6.334,6.334,0.0
A,1988-01-19,0.0,0.0,0,6.301,6.301,0.0
A,1988-01-20,0.0,0.0,0,6.268,6.268,0.0
A,1988-01-21,0.0,0.0,0,6.236,6.236,0.0
A,1988-01-22,3.5,0.0,3.5,6.203,6.203,1.75
A,1988-01-23,21.14999962,0.0,21.14999962,6.17,6.17,10.57499981
A,1988-01-24,0.400000006,0.0,0.400000006,6.137,6.137,0.200000003
A,1988-01-25,0.0,0.0,0,6.105,6.105,0.0
A,1988-01-26,0.900000036,0.0,0.900000036,6.072,6.072,0.450000018
A,1988-01-27,0.0,0.0,0,6.039,6.039,0.0
A,1988-01-28,0.0,0.0,0,6.007,6.007,0.0
A,1988-01-29,0.0,0.0,0,5.974,5.974,0.0
A,1988-01-30,0.0,0.0,0,5.941,5.941,0.0
A,1988-01-31,0.0,0.0,0,5.909,5.909,0.0
A,1989-01-01,0.0,0.0,0,6.107,6.107,0.0
A,1989-01-02,0.0,0.0,0,6.118,6.118,0.0
A,1989-01-03,0.400000006,0.0,0.400000006,6.129,6.129,0.200000003
A,1989-01-04,0.0,0.0,0,6.14,6.14,0.0
A,1989-01-05,0.0,0.0,0,6.151,6.151,0.0
A,1989-01-06,0.0,0.0,0,6.161,6.161,0.0
A,1989-01-07,0.0,0.0,0,6.172,6.172,0.0
A,1989-01-08,0.300000012,0.0,0.300000012,6.183,6.183,0.150000006
A,1989-01-09,1.599999905,0.0,1.599999905,6.194,6.194,0.7999999525
A,1989-01-10,0.25,0.0,0.25,6.205,6.205,0.125
A,1989-01-11,1.350000024,0.0,1.350000024,6.216,6.216,0.675000012
A,1989-01-12,0.0,0.0,0,6.227,6.227,0.0
A,1989-01-13,0.0,0.0,0,6.238,6.238,0.0
A,1989-01-14,0.0,0.0,0,6.248,6.248,0.0
A,1989-01-15,0.0,0.0,0,6.259,6.259,0.0
A,1989-01-16,0.0,0.0,0,6.27,6.27,0.0
A,1989-01-17,0.0,0.0,0,6.25,6.25,0.0
A,1989-01-18,0.0,0.0,0,6.23,6.23,0.0
A,1989-01-19,0.0,0.0,0,6.21,6.21,0.0
A,1989-01-20,0.0,0.0,0,6.191,6.191,0.0
A,1989-01-21,0.0,0.0,0,6.171,6.171,0.0
A,1989-01-22,0.0,0.0,0,6.151,6.151,0.0
A,1989-01-23,0.0,0.0,0,6.131,6.131,0.0
A,1989-01-24,0.0,0.0,0,6.111,6.111,0.0
A,1989-01-25,0.0,0.0,0,6.091,6.091,0.0
A,1989-01-26,0.0,0.0,0,6.071,6.071,0.0
A,1989-01-27,0.0,0.0,0,6.051,6.051,0.0
A,1989-01-28,0.0,0.0,0,6.031,6.031,0.0
A,1989-01-29,0.0,0.0,0,6.011,6.011,0.0
A,1989-01-30,0.0,0.0,0,5.991,5.991,0.0
A,1989-01-31,0.0,0.0,0,5.971,5.971,0.0
A,1990-01-01,0.050000001,0.0,0.050000001,6.023,6.023,0.0250000005
A,1990-01-02,0.0,0.0,0,6.028,6.028,0.0
A,1990-01-03,0.0,0.0,0,6.032,6.032,0.0
A,1990-01-04,0.0,0.0,0,6.036,6.036,0.0
A,1990-01-05,0.0,0.0,0,6.04,6.04,0.0
A,1990-01-06,0.0,0.0,0,6.044,6.044,0.0
A,1990-01-07,0.0,0.0,0,6.048,6.048,0.0
A,1990-01-08,0.0,0.0,0,6.053,6.053,0.0
A,1990-01-09,2.400000095,0.0,2.400000095,6.057,6.057,1.2000000475
A,1990-01-10,9.850000381,0.0,9.850000381,6.061,6.061,4.9250001905
A,1990-01-11,0.0,0.0,0,6.065,6.065,0.0
A,1990-01-12,0.0,0.0,0,6.069,6.069,0.0
A,1990-01-13,0.0,0.0,0,6.074,6.074,0.0
A,1990-01-14,0.0,0.0,0,6.078,6.078,0.0
A,1990-01-15,0.0,0.0,0,6.082,6.082,0.0
A,1990-01-16,0.050000001,0.0,0.050000001,6.086,6.086,0.0250000005
A,1990-01-17,6.649999619,0.0,6.649999619,6.035,6.035,3.3249998095
A,1990-01-18,0.0,0.0,0,5.983,5.983,0.0
A,1990-01-19,0.0,0.0,0,5.932,5.932,0.0
A,1990-01-20,0.0,0.0,0,5.88,5.88,0.0
A,1990-01-21,0.0,0.0,0,5.829,5.829,0.0
A,1990-01-22,0.0,0.0,0,5.778,5.778,0.0
A,1990-01-23,0.0,0.0,0,5.726,5.726,0.0
A,1990-01-24,0.0,0.0,0,5.675,5.675,0.0
A,1990-01-25,0.0,0.0,0,5.623,5.623,0.0
A,1990-01-26,0.0,0.0,0,5.572,5.572,0.0
A,1990-01-27,0.649999976,0.0,0.649999976,5.52,5.52,0.324999988
A,1990-01-28,0.0,0.0,0,5.469,5.469,0.0
A,1990-01-29,0.0,0.0,0,5.418,5.418,0.0
A,1990-01-30,0.200000003,0.0,0.200000003,5.366,5.366,0.1000000015
A,1990-01-31,4.0,0.0,4,5.315,5.315,2.0
A,1991-01-01,0.0,0.0,0,5.646,5.646,0.0
A,1991-01-02,0.150000006,0.0,0.150000006,5.676,5.676,0.075000003
A,1991-01-03,0.150000006,0.0,0.150000006,5.706,5.706,0.075000003
A,1991-01-04,4.5,0.0,4.5,5.735,5.735,2.25
A,1991-01-05,2.5,0.0,2.5,5.765,5.765,1.25
A,1991-01-06,0.400000006,0.0,0.400000006,5.795,5.795,0.200000003
A,1991-01-07,0.050000001,0.0,0.050000001,5.824,5.824,0.0250000005
A,1991-01-08,0.0,0.0,0,5.854,5.854,0.0
A,1991-01-09,0.0,0.0,0,5.884,5.884,0.0
A,1991-01-10,0.0,0.0,0,5.913,5.913,0.0
A,1991-01-11,0.0,0.0,0,5.943,5.943,0.0
A,1991-01-12,0.0,0.0,0,5.973,5.973,0.0
A,1991-01-13,0.0,0.0,0,6.003,6.003,0.0
A,1991-01-14,0.0,0.0,0,6.032,6.032,0.0
A,1991-01-15,0.0,0.0,0,6.062,6.062,0.0
A,1991-01-16,0.0,0.0,0,6.092,6.092,0.0
A,1991-01-17,0.0,0.0,0,6.111,6.111,0.0
A,1991-01-18,0.0,0.0,0,6.13,6.13,0.0
A,1991-01-19,0.0,0.0,0,6.15,6.15,0.0
A,1991-01-20,0.0,0.0,0,6.169,6.169,0.0
A,1991-01-21,2.550000191,0.0,2.550000191,6.189,6.189,1.2750000955
A,1991-01-22,7.699999809,0.0,7.699999809,6.208,6.208,3.8499999045
A,1991-01-23,0.25,0.0,0.25,6.227,6.227,0.125
A,1991-01-24,2.949999809,0.0,2.949999809,6.247,6.247,1.4749999045
A,1991-01-25,1.549999952,0.0,1.549999952,6.266,6.266,0.774999976
A,1991-01-26,0.600000024,0.0,0.600000024,6.286,6.286,0.300000012
A,1991-01-27,0.050000001,0.0,0.050000001,6.305,6.305,0.0250000005
A,1991-01-28,0.050000001,0.0,0.050000001,6.324,6.324,0.0250000005
A,1991-01-29,0.0,0.0,0,6.344,6.344,0.0
A,1991-01-30,0.0,0.0,0,6.363,6.363,0.0
A,1991-01-31,0.0,0.0,0,6.383,6.383,0.0
A,1992-01-01,0.0,0.0,0,5.792,5.792,0.0
A,1992-01-02,0.0,0.0,0,5.794,5.794,0.0
A,1992-01-03,0.800000012,0.0,0.800000012,5.797,5.797,0.400000006
A,1992-01-04,0.0,0.0,0,5.799,5.799,0.0
A,1992-01-05,0.100000001,0.0,0.100000001,5.801,5.801,0.0500000005
A,1992-01-06,0.0,0.0,0,5.804,5.804,0.0
A,1992-01-07,0.100000001,0.0,0.100000001,5.806,5.806,0.0500000005
A,1992-01-08,1.350000024,0.0,1.350000024,5.808,5.808,0.675000012
A,1992-01-09,1.350000024,0.0,1.350000024,5.811,5.811,0.675000012
A,1992-01-10,0.100000001,0.0,0.100000001,5.813,5.813,0.0500000005
A,1992-01-11,0.0,0.0,0,5.815,5.815,0.0
A,1992-01-12,0.050000001,0.0,0.050000001,5.818,5.818,0.0250000005
A,1992-01-13,1.149999976,0.0,1.149999976,5.82,5.82,0.574999988
A,1992-01-14,0.0,0.0,0,5.822,5.822,0.0
A,1992-01-15,0.200000003,0.0,0.200000003,5.825,5.825,0.1000000015
A,1992-01-16,0.0,0.0,0,5.827,5.827,0.0
A,1992-01-17,0.0,0.0,0,5.816,5.816,0.0
A,1992-01-18,0.0,0.0,0,5.805,5.805,0.0
A,1992-01-19,0.0,0.0,0,5.794,5.794,0.0
A,1992-01-20,0.0,0.0,0,5.783,5.783,0.0
A,1992-01-21,0.0,0.0,0,5.772,5.772,0.0
A,1992-01-22,0.0,0.0,0,5.761,5.761,0.0
A,1992-01-23,0.0,0.0,0,5.75,5.75,0.0
A,1992-01-24,0.0,0.0,0,5.739,5.739,0.0
A,1992-01-25,0.0,0.0,0,5.728,5.728,0.0
A,1992-01-26,0.0,0.0,0,5.717,5.717,0.0
A,1992-01-27,0.25,0.0,0.25,5.706,5.706,0.125
A,1992-01-28,0.0,0.0,0,5.695,5.695,0.0
