(1)ClimateZone,(2)Date,(3)T.Max,(4)T.Min,(5)Rain,(6)Evap,(7)Radn,Mean_Temp
A,1985-07-02,0.0,0.0,0,0.818,0.818,0.0
A,1985-07-03,0.0,0.0,0,0.823,0.823,0.0
A,1985-07-04,0.0,0.0,0,0.828,0.828,0.0
A,1985-07-05,0.0,0.0,0,0.833,0.833,0.0
A,1985-07-06,0.0,0.0,0,0.838,0.838,0.0
A,1985-07-07,0.150000006,0.0,0.150000006,0.843,0.843,0.075000003
A,1985-07-08,0.050000001,0.0,0.050000001,0.848,0.848,0.0250000005
A,1985-07-09,0.050000001,0.0,0.050000001,0.853,0.853,0.0250000005
A,1985-07-10,0.0,0.0,0,0.858,0.858,0.0
A,1985-07-11,0.0,0.0,0,0.863,0.863,0.0
A,1985-07-12,0.0,0.0,0,0.868,0.868,0.0
A,1985-07-13,0.0,0.0,0,0.873,0.873,0.0
A,1985-07-14,22.20000076,0.0,22.20000076,0.878,0.878,11.10000038
A,1985-07-15,10.64999962,0.0,10.64999962,0.883,0.883,5.32499981
A,1985-07-16,7.75,0.0,7.75,0.888,0.888,3.875
A,1985-07-17,1.299999952,0.0,1.299999952,0.909,0.909,0.649999976
A,1985-07-18,0.0,0.0,0,0.929,0.929,0.0
A,1985-07-19,0.0,0.0,0,0.949,0.949,0.0
A,1985-07-20,27.70000076,0.0,27.70000076,0.969,0.969,13.85000038
A,1985-07-21,4.699999809,0.0,4.699999809,0.989,0.989,2.3499999045
A,1985-07-22,0.899999976,0.0,0.899999976,1.009,1.009,0.449999988
A,1985-07-23,0.0,0.0,0,1.029,1.029,0.0
A,1985-07-24,1.450000048,0.0,1.450000048,1.049,1.049,0.725000024
A,1985-07-25,0.449999988,0.0,0.449999988,1.069,1.069,0.224999994
A,1985-07-26,0.100000001,0.0,0.100000001,1.09,1.09,0.0500000005
A,1985-07-27,0.300000012,0.0,0.300000012,1.11,1.11,0.150000006
A,1985-07-28,17.95000076,0.0,17.95000076,1.13,1.13,8.97500038
A,1985-07-29,5.599999905,0.0,5.599999905,1.15,1.15,2.7999999525
A,1985-07-30,0.949999988,0.0,0.949999988,1.17,1.17,0.474999994
A,1985-07-31,0.800000012,0.0,0.800000012,1.19,1.19,0.400000006
A,1986-07-01,45.5,0.0,45.5,0.796,0.796,22.75
A,1986-07-02,11.60000038,0.0,11.60000038,0.8,0.8,5.80000019
A,1986-07-03,52.90000153,0.0,52.90000153,0.803,0.803,26.450000765
A,1986-07-04,13.75,0.0,13.75,0.807,0.807,6.875
A,1986-07-05,4.849999905,0.0,4.849999905,0.811,0.811,2.4249999525
A,1986-07-06,25.64999962,0.0,25.64999962,0.815,0.815,12.82499981
A,1986-07-07,13.80000019,0.0,13.80000019,0.819,0.819,6.900000095
A,1986-07-08,11.39999962,0.0,11.39999962,0.823,0.823,5.69999981
A,1986-07-09,2.75,0.0,2.75,0.827,0.827,1.375
A,1986-07-10,0.899999976,0.0,0.899999976,0.831,0.831,0.449999988
A,1986-07-11,0.25,0.0,0.25,0.835,0.835,0.125
A,1986-07-12,0.0,0.0,0,0.839,0.839,0.0
A,1986-07-13,0.0,0.0,0,0.843,0.843,0.0
A,1986-07-14,0.150000006,0.0,0.150000006,0.847,0.847,0.075000003
A,1986-07-15,12.14999962,0.0,12.14999962,0.851,0.851,6.07499981
A,1986-07-16,19.85000038,0.0,19.85000038,0.855,0.855,9.92500019
A,1986-07-17,1.400000095,0.0,1.400000095,0.876,0.876,0.7000000475
A,1986-07-18,10.5,0.0,10.5,0.897,0.897,5.25
A,1986-07-19,0.349999994,0.0,0.349999994,0.918,0.918,0.174999997
A,1986-07-20,1.950000048,0.0,1.950000048,0.939,0.939,0.975000024
A,1986-07-21,0.400000006,0.0,0.400000006,0.96,0.96,0.200000003
A,1986-07-22,20.64999962,0.0,20.64999962,0.981,0.981,10.32499981
A,1986-07-23,0.550000012,0.0,0.550000012,1.002,1.002,0.275000006
A,1986-07-24,8.699999809,0.0,8.699999809,1.024,1.024,4.3499999045
A,1986-07-25,0.200000003,0.0,0.200000003,1.045,1.045,0.1000000015
A,1986-07-26,0.050000001,0.0,0.050000001,1.066,1.066,0.0250000005
A,1986-07-27,0.200000003,0.0,0.200000003,1.087,1.087,0.1000000015
A,1986-07-28,6.300000191,0.0,6.300000191,1.108,1.108,3.1500000955
A,1986-07-29,4.050000191,0.0,4.050000191,1.129,1.129,2.0250000955
A,1986-07-30,0.0,0.0,0,1.15,1.15,0.0
A,1986-07-31,0.0,0.0,0,1.171,1.171,0.0
A,1987-07-01,0.100000001,0.0,0.100000001,0.813,0.813,0.0500000005
A,1987-07-02,0.0,0.0,0,0.817,0.817,0.0
A,1987-07-03,0.0,0.0,0,0.821,0.821,0.0
A,1987-07-04,0.0,0.0,0,0.825,0.825,0.0
A,1987-07-05,0.0,0.0,0,0.828,0.828,0.0
A,1987-07-06,0.0,0.0,0,0.832,0.832,0.0
A,1987-07-07,0.0,0.0,0,0.836,0.836,0.0
A,1987-07-08,0.150000006,0.0,0.150000006,0.84,0.84,0.075000003
A,1987-07-09,4.25,0.0,4.25,0.844,0.844,2.125
A,1987-07-10,1.799999952,0.0,1.799999952,0.847,0.847,0.899999976
A,1987-07-11,1.600000024,0.0,1.600000024,0.851,0.851,0.800000012
A,1987-07-12,0.550000012,0.0,0.550000012,0.855,0.855,0.275000006
A,1987-07-13,14.14999962,0.0,14.14999962,0.859,0.859,7.07499981
A,1987-07-14,37.90000153,0.0,37.90000153,0.863,0.863,18.950000765
A,1987-07-15,21.84999847,0.0,21.84999847,0.867,0.867,10.924999235
A,1987-07-16,20.5,0.0,20.5,0.87,0.87,10.25
A,1987-07-17,2.949999809,0.0,2.949999809,0.891,0.891,1.4749999045
A,1987-07-18,23.5,0.0,23.5,0.912,0.912,11.75
A,1987-07-19,12.95000076,0.0,12.95000076,0.933,0.933,6.47500038
A,1987-07-20,0.899999976,0.0,0.899999976,0.953,0.953,0.449999988
A,1987-07-21,0.0,0.0,0,0.974,0.974,0.0
A,1987-07-22,0.0,0.0,0,0.995,0.995,0.0
A,1987-07-23,0.0,0.0,0,1.015,1.015,0.0
A,1987-07-24,0.100000001,0.0,0.100000001,1.036,1.036,0.0500000005
A,1987-07-25,28.20000076,0.0,28.20000076,1.057,1.057,14.10000038
A,1987-07-26,11.95000076,0.0,11.95000076,1.078,1.078,5.97500038
A,1987-07-27,0.150000006,0.0,0.150000006,1.098,1.098,0.075000003
A,1987-07-28,0.649999976,0.0,0.649999976,1.119,1.119,0.324999988
A,1987-07-29,1.549999952,0.0,1.549999952,1.14,1.14,0.774999976
A,1987-07-30,19.10000038,0.0,19.10000038,1.161,1.161,9.55000019
A,1987-07-31,0.25,0.0,0.25,1.181,1.181,0.125
A,1988-07-01,0.0,0.0,0,0.828,0.828,0.0
A,1988-07-02,0.0,0.0,0,0.832,0.832,0.0
A,1988-07-03,2.299999952,0.0,2.299999952,0.836,0.836,1.149999976
A,1988-07-04,0.5,0.0,0.5,0.84,0.84,0.25
A,1988-07-05,0.25,0.0,0.25,0.845,0.845,0.125
A,1988-07-06,1.75,0.0,1.75,0.849,0.849,0.875
A,1988-07-07,6.949999809,0.0,6.949999809,0.853,0.853,3.4749999045
A,1988-07-08,11.64999962,0.0,11.64999962,0.857,0.857,5.82499981
A,1988-07-09,10.64999962,0.0,10.64999962,0.861,0.861,5.32499981
A,1988-07-10,4.400000095,0.0,4.400000095,0.866,0.866,2.2000000475
A,1988-07-11,3.099999905,0.0,3.099999905,0.87,0.87,1.5499999525
A,1988-07-12,0.0,0.0,0,0.874,0.874,0.0
A,1988-07-13,0.0,0.0,0,0.878,0.878,0.0
A,1988-07-14,5.449999809,0.0,5.449999809,0.882,0.882,2.7249999045
A,1988-07-15,0.850000024,0.0,0.850000024,0.886,0.886,0.425000012
A,1988-07-16,17.75,0.0,17.75,0.891,0.891,8.875
A,1988-07-17,1.299999952,0.0,1.299999952,0.912,0.912,0.649999976
A,1988-07-18,0.699999988,0.0,0.699999988,0.933,0.933,0.349999994
A,1988-07-19,20.65000153,0.0,20.65000153,0.955,0.955,10.325000765
A,1988-07-20,3.449999809,0.0,3.449999809,0.976,0.976,1.7249999045
A,1988-07-21,21.25,0.0,21.25,0.997,0.997,10.625
A,1988-07-22,0.800000012,0.0,0.800000012,1.019,1.019,0.400000006
A,1988-07-23,1.950000048,0.0,1.950000048,1.04,1.04,0.975000024
A,1988-07-24,5.75,0.0,5.75,1.061,1.061,2.875
A,1988-07-25,10.60000038,0.0,10.60000038,1.082,1.082,5.30000019
A,1988-07-26,0.0,0.0,0,1.104,1.104,0.0
A,1988-07-27,0.0,0.0,0,1.125,1.125,0.0
A,1988-07-28,0.0,0.0,0,1.146,1.146,0.0
A,1988-07-29,0.5,0.0,0.5,1.168,1.168,0.25
A,1988-07-30,1.549999952,0.0,1.549999952,1.189,1.189,0.774999976
A,1988-07-31,0.75,0.0,0.75,1.21,1.21,0.375
A,1989-07-01,2.849999905,0.0,2.849999905,0.774,0.774,1.4249999525
A,1989-07-02,0.5,0.0,0.5,0.779,0.779,0.25
A,1989-07-03,10.80000019,0.0,10.80000019,0.784,0.784,5.400000095
A,1989-07-04,3.050000191,0.0,3.050000191,0.789,0.789,1.5250000955
A,1989-07-05,13.89999962,0.0,13.89999962,0.794,0.794,6.94999981
A,1989-07-06,4.399999619,0.0,4.399999619,0.799,0.799,2.1999998095
A,1989-07-07,5.050000191,0.0,5.050000191,0.804,0.804,2.5250000955
A,1989-07-08,9.700000763,0.0,9.700000763,0.808,0.808,4.8500003815
A,1989-07-09,8.75,0.0,8.75,0.813,0.813,4.375
A,1989-07-10,4.5,0.0,4.5,0.818,0.818,2.25
A,1989-07-11,0.150000006,0.0,0.150000006,0.823,0.823,0.075000003
A,1989-07-12,0.0,0.0,0,0.828,0.828,0.0
A,1989-07-13,0.0,0.0,0,0.833,0.833,0.0
A,1989-07-14,0.0,0.0,0,0.837,0.837,0.0
A,1989-07-15,3.349999905,0.0,3.349999905,0.842,0.842,1.6749999525
A,1989-07-16,1.450000048,0.0,1.450000048,0.847,0.847,0.725000024
A,1989-07-17,1.75,0.0,1.75,0.867,0.867,0.875
A,1989-07-18,1.25,0.0,1.25,0.886,0.886,0.625
A,1989-07-19,2.200000048,0.0,2.200000048,0.905,0.905,1.100000024
A,1989-07-20,0.0,0.0,0,0.925,0.925,0.0
A,1989-07-21,1.549999952,0.0,1.549999952,0.944,0.944,0.774999976
A,1989-07-22,13.25,0.0,13.25,0.964,0.964,6.625
A,1989-07-23,1.900000095,0.0,1.900000095,0.983,0.983,0.9500000475
A,1989-07-24,0.200000003,0.0,0.200000003,1.003,1.003,0.1000000015
A,1989-07-25,0.150000006,0.0,0.150000006,1.022,1.022,0.075000003
A,1989-07-26,0.050000001,0.0,0.050000001,1.041,1.041,0.0250000005
A,1989-07-27,0.100000001,0.0,0.100000001,1.061,1.061,0.0500000005
A,1989-07-28,30.5,0.0,30.5,1.08,1.08,15.25
A,1989-07-29,1.899999976,0.0,1.899999976,1.1,1.1,0.949999988
A,1989-07-30,24.54999924,0.0,24.54999924,1.119,1.119,12.27499962
A,1989-07-31,1.849999905,0.0,1.849999905,1.138,1.138,0.9249999525
A,1990-07-01,19.54999924,0.0,19.54999924,0.749,0.749,9.77499962
A,1990-07-02,9.949999809,0.0,9.949999809,0.745,0.745,4.9749999045
A,1990-07-03,8.149999619,0.0,8.149999619,0.74,0.74,4.0749998095
A,1990-07-04,34.5,0.0,34.5,0.736,0.736,17.25
A,1990-07-05,8.550000191,0.0,8.550000191,0.731,0.731,4.2750000955
A,1990-07-06,8.449999809,0.0,8.449999809,0.727,0.727,4.2249999045
A,1990-07-07,4.199999809,0.0,4.199999809,0.722,0.722,2.0999999045
A,1990-07-08,0.5,0.0,0.5,0.718,0.718,0.25
A,1990-07-09,1.25,0.0,1.25,0.714,0.714,0.625
A,1990-07-10,0.050000001,0.0,0.050000001,0.709,0.709,0.0250000005
A,1990-07-11,15.85000038,0.0,15.85000038,0.705,0.705,7.92500019
A,1990-07-12,1.75,0.0,1.75,0.7,0.7,0.875
A,1990-07-13,5.75,0.0,5.75,0.696,0.696,2.875
A,1990-07-14,0.150000006,0.0,0.150000006,0.691,0.691,0.075000003
A,1990-07-15,0.350000024,0.0,0.350000024,0.687,0.687,0.175000012
A,1990-07-16,4.800000191,0.0,4.800000191,0.682,0.682,2.4000000955
A,1990-07-17,4.849999905,0.0,4.849999905,0.698,0.698,2.4249999525
A,1990-07-18,3.349999905,0.0,3.349999905,0.713,0.713,1.6749999525
A,1990-07-19,3.599999905,0.0,3.599999905,0.728,0.728,1.7999999525
A,1990-07-20,9.0,0.0,9,0.744,0.744,4.5
A,1990-07-21,0.25,0.0,0.25,0.759,0.759,0.125
A,1990-07-22,0.0,0.0,0,0.774,0.774,0.0
A,1990-07-23,0.100000001,0.0,0.100000001,0.79,0.79,0.0500000005
A,1990-07-24,6.099999905,0.0,6.099999905,0.805,0.805,3.0499999525
A,1990-07-25,4.75,0.0,4.75,0.82,0.82,2.375
A,1990-07-26,1.949999928,0.0,1.949999928,0.836,0.836,0.974999964
A,1990-07-27,3.5,0.0,3.5,0.851,0.851,1.75
A,1990-07-28,1.25,0.0,1.25,0.866,0.866,0.625
A,1990-07-29,0.400000006,0.0,0.400000006,0.882,0.882,0.200000003
A,1990-07-30,0.150000006,0.0,0.150000006,0.897,0.897,0.075000003
A,1990-07-31,0.699999988,0.0,0.699999988,0.912,0.912,0.349999994
A,1991-07-01,0.100000001,0.0,0.100000001,0.707,0.707,0.0500000005
A,1991-07-02,0.0,0.0,0,0.715,0.715,0.0
A,1991-07-03,1.049999952,0.0,1.049999952,0.724,0.724,0.524999976
A,1991-07-04,35.94999695,0.0,35.94999695,0.733,0.733,17.974998475
A,1991-07-05,0.300000012,0.0,0.300000012,0.742,0.742,0.150000006
A,1991-07-06,6.449999809,0.0,6.449999809,0.751,0.751,3.2249999045
A,1991-07-07,14.5,0.0,14.5,0.76,0.76,7.25
A,1991-07-08,26.45000076,0.0,26.45000076,0.768,0.768,13.22500038
A,1991-07-09,14.39999962,0.0,14.39999962,0.777,0.777,7.19999981
A,1991-07-10,0.400000006,0.0,0.400000006,0.786,0.786,0.200000003
A,1991-07-11,9.600000381,0.0,9.600000381,0.795,0.795,4.8000001905
A,1991-07-12,4.25,0.0,4.25,0.804,0.804,2.125
A,1991-07-13,0.950000048,0.0,0.950000048,0.812,0.812,0.475000024
A,1991-07-14,2.699999809,0.0,2.699999809,0.821,0.821,1.3499999045
A,1991-07-15,0.350000024,0.0,0.350000024,0.83,0.83,0.175000012
A,1991-07-16,0.0,0.0,0,0.839,0.839,0.0
A,1991-07-17,0.0,0.0,0,0.844,0.844,0.0
A,1991-07-18,0.200000003,0.0,0.200000003,0.848,0.848,0.1000000015
A,1991-07-19,0.0,0.0,0,0.853,0.853,0.0
A,1991-07-20,0.0,0.0,0,0.858,0.858,0.0
A,1991-07-21,9.199999809,0.0,9.199999809,0.863,0.863,4.5999999045
A,1991-07-22,0.350000024,0.0,0.350000024,0.868,0.868,0.175000012
A,1991-07-23,0.400000006,0.0,0.400000006,0.872,0.872,0.200000003
A,1991-07-24,0.0,0.0,0,0.877,0.877,0.0
A,1991-07-25,0.150000006,0.0,0.150000006,0.882,0.882,0.075000003
A,1991-07-26,2.650000095,0.0,2.650000095,0.887,0.887,1.3250000475
A,1991-07-27,7.599999905,0.0,7.599999905,0.892,0.892,3.7999999525
A,1991-07-28,5.5,0.0,5.5,0.896,0.896,2.75
A,1991-07-29,2.25,0.0,2.25,0.901,0.901,1.125
A,1991-07-30,7.900000095,0.0,7.900000095,0.906,0.906,3.9500000475
A,1991-07-31,1.700000048,0.0,1.700000048,0.911,0.911,0.850000024
A,1992-07-01,0.0,0.0,0,0.868,0.868,0.0
A,1992-07-02,0.0,0.0,0,0.875,0.875,0.0
A,1992-07-03,31.89999962,0.0,31.89999962,0.882,0.882,15.94999981
A,1992-07-04,0.800000012,0.0,0.800000012,0.889,0.889,0.400000006
A,1992-07-05,5.050000191,0.0,5.050000191,0.895,0.895,2.5250000955
A,1992-07-06,5.600000381,0.0,5.600000381,0.902,0.902,2.8000001905
A,1992-07-07,3.549999952,0.0,3.549999952,0.909,0.909,1.774999976
A,1992-07-08,5.199999809,0.0,5.199999809,0.915,0.915,2.5999999045
A,1992-07-09,0.050000001,0.0,0.050000001,0.922,0.922,0.0250000005
A,1992-07-10,21.5,0.0,21.5,0.929,0.929,10.75
A,1992-07-11,5.150000095,0.0,5.150000095,0.935,0.935,2.5750000475
A,1992-07-12,2.849999905,0.0,2.849999905,0.942,0.942,1.4249999525
A,1992-07-13,0.0,0.0,0,0.949,0.949,0.0
A,1992-07-14,0.0,0.0,0,0.956,0.956,0.0
A,1992-07-15,0.0,0.0,0,0.962,0.962,0.0
A,1992-07-16,0.0,0.0,0,0.969,0.969,0.0
A,1992-07-17,0.700000048,0.0,0.700000048,0.977,0.977,0.350000024
A,1992-07-18,14.20000076,0.0,14.20000076,0.986,0.986,7.10000038
A,1992-07-19,8.149999619,0.0,8.149999619,0.994,0.994,4.0749998095
A,1992-07-20,0.150000006,0.0,0.150000006,1.003,1.003,0.075000003
A,1992-07-21,0.100000001,0.0,0.100000001,1.011,1.011,0.0500000005
A,1992-07-22,2.950000048,0.0,2.950000048,1.02,1.02,1.475000024
A,1992-07-23,7.050000191,0.0,7.050000191,1.028,1.028,3.5250000955
A,1992-07-24,0.850000024,0.0,0.850000024,1.037,1.037,0.425000012
A,1992-07-25,1.25,0.0,1.25,1.045,1.045,0.625
A,1992-07-26,0.5,0.0,0.5,1.053,1.053,0.25
A,1992-07-27,0.800000012,0.0,0.800000012,1.062,1.062,0.400000006
A,1992-07-28,0.449999988,0.0,0.449999988,1.07,1.07,0.224999994
A,1992-07-29,2.75,0.0,2.75,1.079,1.079,1.375
A,1992-07-30,1.25,0.0,1.25,1.087,1.087,0.625
A,1992-07-31,0.0,0.0,0,1.096,1.096,0.0
A,1993-07-01,0.350000024,0.0,0.350000024,0.879,0.879,0.175000012
A,1993-07-02,2.5,0.0,2.5,0.883,0.883,1.25
A,1993-07-03,3.849999905,0.0,3.849999905,0.886,0.886,1.9249999525
A,1993-07-04,0.75,0.0,0.75,0.89,0.89,0.375
