(1)ClimateZone,(2)Date,(3)T.Max,(4)T.Min,(5)Rain,(6)Evap,(7)Radn,Mean_Temp
A,1985-08-02,5.300000191,0.0,5.300000191,1.23,1.23,2.6500000955
A,1985-08-03,5.5,0.0,5.5,1.25,1.25,2.75
A,1985-08-04,11.35000038,0.0,11.35000038,1.271,1.271,5.67500019
A,1985-08-05,6.449999809,0.0,6.449999809,1.291,1.291,3.2249999045
A,1985-08-06,40.65000153,0.0,40.65000153,1.311,1.311,20.325000765
A,1985-08-07,1.849999905,0.0,1.849999905,1.331,1.331,0.9249999525
A,1985-08-08,0.400000006,0.0,0.400000006,1.351,1.351,0.200000003
A,1985-08-09,0.800000012,0.0,0.800000012,1.371,1.371,0.400000006
A,1985-08-10,1.399999976,0.0,1.399999976,1.391,1.391,0.699999988
A,1985-08-11,1.350000024,0.0,1.350000024,1.411,1.411,0.675000012
A,1985-08-12,1.299999952,0.0,1.299999952,1.431,1.431,0.649999976
A,1985-08-13,6.100000381,0.0,6.100000381,1.452,1.452,3.0500001905
A,1985-08-14,0.75,0.0,0.75,1.472,1.472,0.375
A,1985-08-15,11.5,0.0,11.5,1.492,1.492,5.75
A,1985-08-16,5.849999905,0.0,5.849999905,1.512,1.512,2.9249999525
A,1985-08-17,3.150000095,0.0,3.150000095,1.54,1.54,1.5750000475
A,1985-08-18,0.449999988,0.0,0.449999988,1.569,1.569,0.224999994
A,1985-08-19,0.0,0.0,0,1.597,1.597,0.0
A,1985-08-20,4.699999809,0.0,4.699999809,1.625,1.625,2.3499999045
A,1985-08-21,7.25,0.0,7.25,1.654,1.654,3.625
A,1985-08-22,11.60000038,0.0,11.60000038,1.682,1.682,5.80000019
A,1985-08-23,0.649999976,0.0,0.649999976,1.711,1.711,0.324999988
A,1985-08-24,0.150000006,0.0,0.150000006,1.739,1.739,0.075000003
A,1985-08-25,8.950000763,0.0,8.950000763,1.767,1.767,4.4750003815
A,1985-08-26,1.700000048,0.0,1.700000048,1.796,1.796,0.850000024
A,1985-08-27,13.75,0.0,13.75,1.824,1.824,6.875
A,1985-08-28,0.350000024,0.0,0.350000024,1.853,1.853,0.175000012
A,1985-08-29,0.0,0.0,0,1.881,1.881,0.0
A,1985-08-30,0.200000003,0.0,0.200000003,1.909,1.909,0.1000000015
A,1985-08-31,7.050000191,0.0,7.050000191,1.938,1.938,3.5250000955
A,1986-08-01,0.25,0.0,0.25,1.192,1.192,0.125
A,1986-08-02,41.94999695,0.0,41.94999695,1.213,1.213,20.974998475
A,1986-08-03,5.100000381,0.0,5.100000381,1.235,1.235,2.5500001905
A,1986-08-04,0.550000012,0.0,0.550000012,1.256,1.256,0.275000006
A,1986-08-05,0.450000018,0.0,0.450000018,1.277,1.277,0.225000009
A,1986-08-06,0.0,0.0,0,1.298,1.298,0.0
A,1986-08-07,0.0,0.0,0,1.319,1.319,0.0
A,1986-08-08,0.100000001,0.0,0.100000001,1.34,1.34,0.0500000005
