(1)ClimateZone,(2)Date,(3)T.Max,(4)T.Min,(5)Rain,(6)Evap,(7)Radn,Mean_Temp
A,1985-12-02,0.0,0.0,0,5.325,5.325,0.0
A,1985-12-03,0.0,0.0,0,5.342,5.342,0.0
A,1985-12-04,0.100000001,0.0,0.100000001,5.358,5.358,0.0500000005
A,1985-12-05,0.699999988,0.0,0.699999988,5.375,5.375,0.349999994
A,1985-12-06,10.05000019,0.0,10.05000019,5.391,5.391,5.025000095
A,1985-12-07,15.39999962,0.0,15.39999962,5.407,5.407,7.69999981
A,1985-12-08,13.94999981,0.0,13.94999981,5.424,5.424,6.974999905
A,1985-12-09,9.649999619,0.0,9.649999619,5.44,5.44,4.8249998095
A,1985-12-10,0.400000006,0.0,0.400000006,5.456,5.456,0.200000003
A,1985-12-11,0.0,0.0,0,5.473,5.473,0.0
A,1985-12-12,0.050000001,0.0,0.050000001,5.489,5.489,0.0250000005
A,1985-12-13,0.0,0.0,0,5.506,5.506,0.0
A,1985-12-14,0.0,0.0,0,5.522,5.522,0.0
A,1985-12-15,4.150000095,0.0,4.150000095,5.538,5.538,2.0750000475
A,1985-12-16,1.650000095,0.0,1.650000095,5.555,5.555,0.8250000475
A,1985-12-17,0.899999976,0.0,0.899999976,5.573,5.573,0.449999988
A,1985-12-18,0.0,0.0,0,5.591,5.591,0.0
A,1985-12-19,0.300000012,0.0,0.300000012,5.609,5.609,0.150000006
A,1985-12-20,3.450000048,0.0,3.450000048,5.627,5.627,1.725000024
A,1985-12-21,2.550000191,0.0,2.550000191,5.645,5.645,1.2750000955
A,1985-12-22,1.549999952,0.0,1.549999952,5.664,5.664,0.774999976
A,1985-12-23,0.050000001,0.0,0.050000001,5.682,5.682,0.0250000005
A,1985-12-24,0.0,0.0,0,5.7,5.7,0.0
A,1985-12-25,0.050000001,0.0,0.050000001,5.718,5.718,0.0250000005
A,1985-12-26,0.5,0.0,0.5,5.736,5.736,0.25
A,1985-12-27,0.0,0.0,0,5.754,5.754,0.0
A,1985-12-28,0.0,0.0,0,5.772,5.772,0.0
A,1985-12-29,0.0,0.0,0,5.79,5.79,0.0
A,1985-12-30,0.0,0.0,0,5.809,5.809,0.0
A,1985-12-31,0.0,0.0,0,5.827,5.827,0.0
A,1986-12-01,1.950000048,0.0,1.950000048,5.332,5.332,0.975000024
A,1986-12-02,0.0,0.0,0,5.35,5.35,0.0
A,1986-12-03,0.0,0.0,0,5.367,5.367,0.0
A,1986-12-04,0.0,0.0,0,5.385,5.385,0.0
A,1986-12-05,9.449999809,0.0,9.449999809,5.403,5.403,4.7249999045
A,1986-12-06,37.45000076,0.0,37.45000076,5.42,5.42,18.72500038
A,1986-12-07,10.85000038,0.0,10.85000038,5.438,5.438,5.42500019
A,1986-12-08,0.100000001,0.0,0.100000001,5.455,5.455,0.0500000005
A,1986-12-09,0.150000006,0.0,0.150000006,5.473,5.473,0.075000003
A,1986-12-10,2.0,0.0,2,5.491,5.491,1.0
A,1986-12-11,4.099999905,0.0,4.099999905,5.508,5.508,2.0499999525
A,1986-12-12,0.25,0.0,0.25,5.526,5.526,0.125
A,1986-12-13,0.050000001,0.0,0.050000001,5.543,5.543,0.0250000005
A,1986-12-14,0.0,0.0,0,5.561,5.561,0.0
A,1986-12-15,1.0,0.0,1,5.579,5.579,0.5
A,1986-12-16,1.150000095,0.0,1.150000095,5.596,5.596,0.5750000475
A,1986-12-17,0.100000001,0.0,0.100000001,5.609,5.609,0.0500000005
A,1986-12-18,0.0,0.0,0,5.621,5.621,0.0
A,1986-12-19,0.0,0.0,0,5.634,5.634,0.0
A,1986-12-20,0.100000001,0.0,0.100000001,5.646,5.646,0.0500000005
A,1986-12-21,0.200000003,0.0,0.200000003,5.659,5.659,0.1000000015
A,1986-12-22,0.0,0.0,0,5.671,5.671,0.0
A,1986-12-23,0.0,0.0,0,5.683,5.683,0.0
A,1986-12-24,0.0,0.0,0,5.696,5.696,0.0
A,1986-12-25,0.0,0.0,0,5.708,5.708,0.0
A,1986-12-26,0.0,0.0,0,5.721,5.721,0.0
A,1986-12-27,0.150000006,0.0,0.150000006,5.733,5.733,0.075000003
A,1986-12-28,0.0,0.0,0,5.746,5.746,0.0
A,1986-12-29,0.0,0.0,0,5.758,5.758,0.0
A,1986-12-30,0.550000012,0.0,0.550000012,5.771,5.771,0.275000006
A,1986-12-31,0.0,0.0,0,5.783,5.783,0.0
A,1987-12-01,7.5,0.0,7.5,5.522,5.522,3.75
A,1987-12-02,0.400000006,0.0,0.400000006,5.542,5.542,0.200000003
A,1987-12-03,0.0,0.0,0,5.563,5.563,0.0
A,1987-12-04,0.0,0.0,0,5.584,5.584,0.0
A,1987-12-05,0.0,0.0,0,5.605,5.605,0.0
A,1987-12-06,0.050000001,0.0,0.050000001,5.626,5.626,0.0250000005
A,1987-12-07,0.0,0.0,0,5.647,5.647,0.0
A,1987-12-08,8.449999809,0.0,8.449999809,5.668,5.668,4.2249999045
A,1987-12-09,0.300000012,0.0,0.300000012,5.689,5.689,0.150000006
A,1987-12-10,0.0,0.0,0,5.709,5.709,0.0
A,1987-12-11,0.0,0.0,0,5.73,5.73,0.0
A,1987-12-12,0.0,0.0,0,5.751,5.751,0.0
A,1987-12-13,0.0,0.0,0,5.772,5.772,0.0
A,1987-12-14,0.0,0.0,0,5.793,5.793,0.0
A,1987-12-15,0.0,0.0,0,5.814,5.814,0.0
A,1987-12-16,0.0,0.0,0,5.835,5.835,0.0
A,1987-12-17,0.0,0.0,0,5.853,5.853,0.0
A,1987-12-18,0.0,0.0,0,5.871,5.871,0.0
A,1987-12-19,0.0,0.0,0,5.889,5.889,0.0
A,1987-12-20,0.0,0.0,0,5.907,5.907,0.0
A,1987-12-21,0.0,0.0,0,5.926,5.926,0.0
A,1987-12-22,0.0,0.0,0,5.944,5.944,0.0
A,1987-12-23,0.0,0.0,0,5.962,5.962,0.0
A,1987-12-24,0.0,0.0,0,5.98,5.98,0.0
A,1987-12-25,0.0,0.0,0,5.998,5.998,0.0
A,1987-12-26,0.0,0.0,0,6.017,6.017,0.0
A,1987-12-27,0.799999952,0.0,0.799999952,6.035,6.035,0.399999976
A,1987-12-28,0.25,0.0,0.25,6.053,6.053,0.125
A,1987-12-29,0.0,0.0,0,6.071,6.071,0.0
A,1987-12-30,0.0,0.0,0,6.089,6.089,0.0
A,1987-12-31,0.949999988,0.0,0.949999988,6.108,6.108,0.474999994
A,1988-12-01,0.0,0.0,0,5.444,5.444,0.0
A,1988-12-02,1.5,0.0,1.5,5.476,5.476,0.75
A,1988-12-03,1.350000024,0.0,1.350000024,5.509,5.509,0.675000012
A,1988-12-04,5.150000095,0.0,5.150000095,5.541,5.541,2.5750000475
A,1988-12-05,0.0,0.0,0,5.574,5.574,0.0
A,1988-12-06,0.0,0.0,0,5.607,5.607,0.0
A,1988-12-07,0.0,0.0,0,5.639,5.639,0.0
A,1988-12-08,0.0,0.0,0,5.672,5.672,0.0
A,1988-12-09,0.5,0.0,0.5,5.705,5.705,0.25
A,1988-12-10,1.349999905,0.0,1.349999905,5.737,5.737,0.6749999525
A,1988-12-11,0.25,0.0,0.25,5.77,5.77,0.125
A,1988-12-12,0.150000006,0.0,0.150000006,5.802,5.802,0.075000003
A,1988-12-13,0.0,0.0,0,5.835,5.835,0.0
A,1988-12-14,0.0,0.0,0,5.868,5.868,0.0
A,1988-12-15,0.0,0.0,0,5.9,5.9,0.0
A,1988-12-16,0.0,0.0,0,5.933,5.933,0.0
A,1988-12-17,0.0,0.0,0,5.944,5.944,0.0
A,1988-12-18,0.0,0.0,0,5.955,5.955,0.0
A,1988-12-19,3.299999952,0.0,3.299999952,5.966,5.966,1.649999976
A,1988-12-20,15.35000038,0.0,15.35000038,5.976,5.976,7.67500019
A,1988-12-21,0.050000001,0.0,0.050000001,5.987,5.987,0.0250000005
A,1988-12-22,0.0,0.0,0,5.998,5.998,0.0
A,1988-12-23,0.0,0.0,0,6.009,6.009,0.0
A,1988-12-24,8.0,0.0,8,6.02,6.02,4.0
A,1988-12-25,4.150000095,0.0,4.150000095,6.031,6.031,2.0750000475
A,1988-12-26,0.150000006,0.0,0.150000006,6.042,6.042,0.075000003
A,1988-12-27,3.799999952,0.0,3.799999952,6.053,6.053,1.899999976
A,1988-12-28,0.0,0.0,0,6.063,6.063,0.0
A,1988-12-29,0.0,0.0,0,6.074,6.074,0.0
A,1988-12-30,0.100000001,0.0,0.100000001,6.085,6.085,0.0500000005
A,1988-12-31,0.0,0.0,0,6.096,6.096,0.0
A,1989-12-01,13.25,0.0,13.25,5.569,5.569,6.625
A,1989-12-02,0.100000001,0.0,0.100000001,5.595,5.595,0.0500000005
A,1989-12-03,0.400000006,0.0,0.400000006,5.62,5.62,0.200000003
A,1989-12-04,0.0,0.0,0,5.646,5.646,0.0
A,1989-12-05,0.0,0.0,0,5.672,5.672,0.0
A,1989-12-06,0.0,0.0,0,5.698,5.698,0.0
A,1989-12-07,0.0,0.0,0,5.724,5.724,0.0
A,1989-12-08,0.0,0.0,0,5.75,5.75,0.0
A,1989-12-09,0.0,0.0,0,5.776,5.776,0.0
A,1989-12-10,0.0,0.0,0,5.801,5.801,0.0
A,1989-12-11,0.0,0.0,0,5.827,5.827,0.0
A,1989-12-12,0.0,0.0,0,5.853,5.853,0.0
A,1989-12-13,0.799999952,0.0,0.799999952,5.879,5.879,0.399999976
A,1989-12-14,0.0,0.0,0,5.905,5.905,0.0
A,1989-12-15,0.0,0.0,0,5.931,5.931,0.0
A,1989-12-16,0.0,0.0,0,5.957,5.957,0.0
A,1989-12-17,0.0,0.0,0,5.961,5.961,0.0
A,1989-12-18,0.050000001,0.0,0.050000001,5.965,5.965,0.0250000005
A,1989-12-19,0.0,0.0,0,5.969,5.969,0.0
A,1989-12-20,0.0,0.0,0,5.973,5.973,0.0
A,1989-12-21,0.0,0.0,0,5.977,5.977,0.0
A,1989-12-22,0.0,0.0,0,5.982,5.982,0.0
A,1989-12-23,0.0,0.0,0,5.986,5.986,0.0
A,1989-12-24,0.0,0.0,0,5.99,5.99,0.0
A,1989-12-25,0.75,0.0,0.75,5.994,5.994,0.375
A,1989-12-26,0.0,0.0,0,5.998,5.998,0.0
A,1989-12-27,0.0,0.0,0,6.003,6.003,0.0
