(1)ClimateZone,(2)Date,(3)T.Max,(4)T.Min,(5)Rain,(6)Evap,(7)Radn,Mean_Temp
A,1985-02-02,0.0,0.0,0,5.889,5.889,0.0
A,1985-02-03,0.0,0.0,0,5.864,5.864,0.0
A,1985-02-04,0.0,0.0,0,5.839,5.839,0.0
A,1985-02-05,0.0,0.0,0,5.814,5.814,0.0
A,1985-02-06,3.349999905,0.0,3.349999905,5.789,5.789,1.6749999525
A,1985-02-07,0.0,0.0,0,5.764,5.764,0.0
A,1985-02-08,0.0,0.0,0,5.739,5.739,0.0
A,1985-02-09,0.0,0.0,0,5.714,5.714,0.0
A,1985-02-10,0.0,0.0,0,5.689,5.689,0.0
A,1985-02-11,0.0,0.0,0,5.664,5.664,0.0
A,1985-02-12,0.0,0.0,0,5.64,5.64,0.0
A,1985-02-13,0.0,0.0,0,5.615,5.615,0.0
A,1985-02-14,0.0,0.0,0,5.59,5.59,0.0
A,1985-02-15,0.0,0.0,0,5.565,5.565,0.0
A,1985-02-16,0.0,0.0,0,5.54,5.54,0.0
A,1985-02-17,0.0,0.0,0,5.495,5.495,0.0
A,1985-02-18,0.0,0.0,0,5.45,5.45,0.0
A,1985-02-19,0.0,0.0,0,5.405,5.405,0.0
A,1985-02-20,0.0,0.0,0,5.36,5.36,0.0
A,1985-02-21,0.0,0.0,0,5.315,5.315,0.0
A,1985-02-22,0.0,0.0,0,5.27,5.27,0.0
A,1985-02-23,0.0,0.0,0,5.225,5.225,0.0
A,1985-02-24,0.0,0.0,0,5.181,5.181,0.0
A,1985-02-25,0.300000012,0.0,0.300000012,5.136,5.136,0.150000006
A,1985-02-26,0.0,0.0,0,5.091,5.091,0.0
A,1985-02-27,0.0,0.0,0,5.046,5.046,0.0
A,1985-02-28,0.0,0.0,0,5.001,5.001,0.0
A,1986-02-01,0.0,0.0,0,5.774,5.774,0.0
A,1986-02-02,0.0,0.0,0,5.753,5.753,0.0
A,1986-02-03,0.0,0.0,0,5.731,5.731,0.0
A,1986-02-04,0.0,0.0,0,5.71,5.71,0.0
A,1986-02-05,0.0,0.0,0,5.688,5.688,0.0
A,1986-02-06,0.0,0.0,0,5.667,5.667,0.0
A,1986-02-07,0.0,0.0,0,5.645,5.645,0.0
A,1986-02-08,0.0,0.0,0,5.624,5.624,0.0
A,1986-02-09,0.0,0.0,0,5.603,5.603,0.0
A,1986-02-10,0.0,0.0,0,5.581,5.581,0.0
A,1986-02-11,0.0,0.0,0,5.56,5.56,0.0
A,1986-02-12,0.0,0.0,0,5.538,5.538,0.0
A,1986-02-13,0.100000001,0.0,0.100000001,5.517,5.517,0.0500000005
A,1986-02-14,0.949999988,0.0,0.949999988,5.495,5.495,0.474999994
A,1986-02-15,0.150000006,0.0,0.150000006,5.474,5.474,0.075000003
A,1986-02-16,0.850000024,0.0,0.850000024,5.453,5.453,0.425000012
A,1986-02-17,1.150000095,0.0,1.150000095,5.414,5.414,0.5750000475
A,1986-02-18,0.25,0.0,0.25,5.376,5.376,0.125
A,1986-02-19,0.0,0.0,0,5.338,5.338,0.0
A,1986-02-20,0.100000001,0.0,0.100000001,5.3,5.3,0.0500000005
A,1986-02-21,0.0,0.0,0,5.262,5.262,0.0
A,1986-02-22,0.0,0.0,0,5.224,5.224,0.0
A,1986-02-23,0.0,0.0,0,5.186,5.186,0.0
A,1986-02-24,0.0,0.0,0,5.148,5.148,0.0
A,1986-02-25,0.0,0.0,0,5.11,5.11,0.0
A,1986-02-26,0.0,0.0,0,5.072,5.072,0.0
A,1986-02-27,0.0,0.0,0,5.034,5.034,0.0
A,1986-02-28,0.0,0.0,0,4.996,4.996,0.0
A,1987-02-01,0.0,0.0,0,5.751,5.751,0.0
A,1987-02-02,0.0,0.0,0,5.736,5.736,0.0
A,1987-02-03,0.0,0.0,0,5.722,5.722,0.0
A,1987-02-04,0.0,0.0,0,5.707,5.707,0.0
A,1987-02-05,0.0,0.0,0,5.693,5.693,0.0
A,1987-02-06,0.0,0.0,0,5.678,5.678,0.0
A,1987-02-07,1.25,0.0,1.25,5.664,5.664,0.625
A,1987-02-08,0.150000006,0.0,0.150000006,5.649,5.649,0.075000003
