(1)ClimateZone,(2)Date,(3)T.Max,(4)T.Min,(5)Rain,(6)Evap,(7)Radn
(A/B/C/D),(dd/mm/yyyy),(oC),(oC),(mm),(mm),(MJ/m2)
A,1/01/1985,1.400000095,0,1.400000095,6.077,6.077
A,2/01/1985,2.900000095,0,2.900000095,6.093,6.093
A,3/01/1985,0.100000001,0,0.100000001,6.108,6.108
A,4/01/1985,0.649999976,0,0.649999976,6.124,6.124
A,5/01/1985,0,0,0,6.14,6.14
A,6/01/1985,0,0,0,6.155,6.155
A,7/01/1985,0,0,0,6.171,6.171
A,8/01/1985,0,0,0,6.187,6.187
A,9/01/1985,0,0,0,6.203,6.203
A,10/01/1985,0,0,0,6.218,6.218
A,11/01/1985,0,0,0,6.234,6.234
A,12/01/1985,0,0,0,6.25,6.25
A,13/01/1985,0,0,0,6.266,6.266
A,14/01/1985,0,0,0,6.281,6.281
A,15/01/1985,0,0,0,6.297,6.297
A,16/01/1985,0,0,0,6.313,6.313
A,17/01/1985,0,0,0,6.288,6.288
A,18/01/1985,0,0,0,6.263,6.263
A,19/01/1985,0,0,0,6.238,6.238
A,20/01/1985,0,0,0,6.213,6.213
A,21/01/1985,0,0,0,6.188,6.188
A,22/01/1985,0,0,0,6.163,6.163
A,23/01/1985,0,0,0,6.138,6.138
A,24/01/1985,0,0,0,6.113,6.113
A,25/01/1985,0,0,0,6.088,6.088
A,26/01/1985,0,0,0,6.063,6.063
A,27/01/1985,0,0,0,6.038,6.038
A,28/01/1985,0,0,0,6.014,6.014
A,29/01/1985,0,0,0,5.989,5.989
A,30/01/1985,0,0,0,5.964,5.964
A,31/01/1985,0,0,0,5.939,5.939
A,1/02/1985,0,0,0,5.914,5.914
A,2/02/1985,0,0,0,5.889,5.889
A,3/02/1985,0,0,0,5.864,5.864
A,4/02/1985,0,0,0,5.839,5.839
A,5/02/1985,0,0,0,5.814,5.814
A,6/02/1985,3.349999905,0,3.349999905,5.789,5.789
A,7/02/1985,0,0,0,5.764,5.764
A,8/02/1985,0,0,0,5.739,5.739
A,9/02/1985,0,0,0,5.714,5.714
A,10/02/1985,0,0,0,5.689,5.689
A,11/02/1985,0,0,0,5.664,5.664
A,12/02/1985,0,0,0,5.64,5.64
