(1)ClimateZone,(2)Date,(3)T.Max,(4)T.Min,(5)Rain,(6)Evap,(7)Radn,Mean_Temp
A,1985-03-02,0.0,0.0,0,4.911,4.911,0.0
A,1985-03-03,0.449999988,0.0,0.449999988,4.866,4.866,0.224999994
A,1985-03-04,0.100000001,0.0,0.100000001,4.821,4.821,0.0500000005
A,1985-03-05,1.049999952,0.0,1.049999952,4.776,4.776,0.524999976
A,1985-03-06,0.0,0.0,0,4.731,4.731,0.0
A,1985-03-07,0.0,0.0,0,4.687,4.687,0.0
A,1985-03-08,0.0,0.0,0,4.642,4.642,0.0
A,1985-03-09,0.0,0.0,0,4.597,4.597,0.0
A,1985-03-10,0.0,0.0,0,4.552,4.552,0.0
A,1985-03-11,0.0,0.0,0,4.507,4.507,0.0
A,1985-03-12,0.0,0.0,0,4.462,4.462,0.0
A,1985-03-13,0.0,0.0,0,4.417,4.417,0.0
A,1985-03-14,0.950000048,0.0,0.950000048,4.372,4.372,0.475000024
A,1985-03-15,67.84999847,0.0,67.84999847,4.327,4.327,33.924999235
A,1985-03-16,1.25,0.0,1.25,4.282,4.282,0.625
A,1985-03-17,0.600000024,0.0,0.600000024,4.222,4.222,0.300000012
A,1985-03-18,0.0,0.0,0,4.162,4.162,0.0
A,1985-03-19,0.0,0.0,0,4.102,4.102,0.0
A,1985-03-20,0.0,0.0,0,4.042,4.042,0.0
A,1985-03-21,0.0,0.0,0,3.982,3.982,0.0
A,1985-03-22,0.0,0.0,0,3.921,3.921,0.0
A,1985-03-23,0.0,0.0,0,3.861,3.861,0.0
A,1985-03-24,0.0,0.0,0,3.801,3.801,0.0
A,1985-03-25,0.0,0.0,0,3.741,3.741,0.0
A,1985-03-26,0.0,0.0,0,3.681,3.681,0.0
A,1985-03-27,0.0,0.0,0,3.621,3.621,0.0
A,1985-03-28,0.0,0.0,0,3.56,3.56,0.0
A,1985-03-29,0.0,0.0,0,3.5,3.5,0.0
A,1985-03-30,0.0,0.0,0,3.44,3.44,0.0
A,1985-03-31,1.399999976,0.0,1.399999976,3.38,3.38,0.699999988
A,1986-03-01,0.0,0.0,0,4.958,4.958,0.0
A,1986-03-02,0.0,0.0,0,4.92,4.92,0.0
A,1986-03-03,0.0,0.0,0,4.881,4.881,0.0
A,1986-03-04,0.0,0.0,0,4.843,4.843,0.0
A,1986-03-05,0.0,0.0,0,4.805,4.805,0.0
A,1986-03-06,0.0,0.0,0,4.767,4.767,0.0
A,1986-03-07,0.100000001,0.0,0.100000001,4.729,4.729,0.0500000005
A,1986-03-08,0.700000048,0.0,0.700000048,4.691,4.691,0.350000024
A,1986-03-09,1.350000024,0.0,1.350000024,4.653,4.653,0.675000012
A,1986-03-10,0.0,0.0,0,4.615,4.615,0.0
A,1986-03-11,0.0,0.0,0,4.577,4.577,0.0
A,1986-03-12,0.0,0.0,0,4.539,4.539,0.0
A,1986-03-13,0.0,0.0,0,4.501,4.501,0.0
A,1986-03-14,0.0,0.0,0,4.463,4.463,0.0
A,1986-03-15,0.150000006,0.0,0.150000006,4.425,4.425,0.075000003
A,1986-03-16,0.0,0.0,0,4.386,4.386,0.0
A,1986-03-17,0.0,0.0,0,4.321,4.321,0.0
A,1986-03-18,0.050000001,0.0,0.050000001,4.256,4.256,0.0250000005
A,1986-03-19,0.0,0.0,0,4.191,4.191,0.0
A,1986-03-20,0.0,0.0,0,4.126,4.126,0.0
A,1986-03-21,0.0,0.0,0,4.061,4.061,0.0
A,1986-03-22,0.0,0.0,0,3.996,3.996,0.0
A,1986-03-23,0.0,0.0,0,3.931,3.931,0.0
A,1986-03-24,0.0,0.0,0,3.866,3.866,0.0
A,1986-03-25,0.0,0.0,0,3.801,3.801,0.0
A,1986-03-26,0.0,0.0,0,3.736,3.736,0.0
A,1986-03-27,0.0,0.0,0,3.671,3.671,0.0
A,1986-03-28,0.0,0.0,0,3.606,3.606,0.0
A,1986-03-29,0.0,0.0,0,3.54,3.54,0.0
A,1986-03-30,0.0,0.0,0,3.475,3.475,0.0
A,1986-03-31,0.0,0.0,0,3.41,3.41,0.0
A,1987-03-01,1.649999976,0.0,1.649999976,4.828,4.828,0.824999988
A,1987-03-02,0.050000001,0.0,0.050000001,4.774,4.774,0.0250000005
A,1987-03-03,0.0,0.0,0,4.719,4.719,0.0
A,1987-03-04,0.0,0.0,0,4.665,4.665,0.0
A,1987-03-05,0.0,0.0,0,4.611,4.611,0.0
A,1987-03-06,0.0,0.0,0,4.557,4.557,0.0
A,1987-03-07,2.0,0.0,2,4.502,4.502,1.0
A,1987-03-08,0.75,0.0,0.75,4.448,4.448,0.375
A,1987-03-09,0.0,0.0,0,4.394,4.394,0.0
A,1987-03-10,0.0,0.0,0,4.339,4.339,0.0
A,1987-03-11,0.150000006,0.0,0.150000006,4.285,4.285,0.075000003
A,1987-03-12,0.150000006,0.0,0.150000006,4.231,4.231,0.075000003
A,1987-03-13,0.050000001,0.0,0.050000001,4.177,4.177,0.0250000005
A,1987-03-14,0.150000006,0.0,0.150000006,4.122,4.122,0.075000003
A,1987-03-15,0.050000001,0.0,0.050000001,4.068,4.068,0.0250000005
A,1987-03-16,0.100000001,0.0,0.100000001,4.014,4.014,0.0500000005
A,1987-03-17,0.050000001,0.0,0.050000001,3.963,3.963,0.0250000005
A,1987-03-18,0.0,0.0,0,3.913,3.913,0.0
A,1987-03-19,2.75,0.0,2.75,3.863,3.863,1.375
A,1987-03-20,0.050000001,0.0,0.050000001,3.812,3.812,0.0250000005
A,1987-03-21,0.0,0.0,0,3.762,3.762,0.0
A,1987-03-22,0.400000006,0.0,0.400000006,3.712,3.712,0.200000003
A,1987-03-23,0.050000001,0.0,0.050000001,3.661,3.661,0.0250000005
A,1987-03-24,0.100000001,0.0,0.100000001,3.611,3.611,0.0500000005
A,1987-03-25,0.200000003,0.0,0.200000003,3.561,3.561,0.1000000015
A,1987-03-26,0.050000001,0.0,0.050000001,3.51,3.51,0.0250000005
A,1987-03-27,18.25,0.0,18.25,3.46,3.46,9.125
A,1987-03-28,7.149999619,0.0,7.149999619,3.41,3.41,3.5749998095
A,1987-03-29,5.800000191,0.0,5.800000191,3.359,3.359,2.9000000955
A,1987-03-30,0.5,0.0,0.5,3.309,3.309,0.25
A,1987-03-31,0.050000001,0.0,0.050000001,3.259,3.259,0.0250000005
A,1988-03-01,0.0,0.0,0,4.854,4.854,0.0
A,1988-03-02,0.0,0.0,0,4.817,4.817,0.0
A,1988-03-03,0.0,0.0,0,4.779,4.779,0.0
A,1988-03-04,0.0,0.0,0,4.741,4.741,0.0
A,1988-03-05,0.200000003,0.0,0.200000003,4.703,4.703,0.1000000015
A,1988-03-06,0.0,0.0,0,4.665,4.665,0.0
A,1988-03-07,0.0,0.0,0,4.627,4.627,0.0
A,1988-03-08,0.0,0.0,0,4.589,4.589,0.0
A,1988-03-09,0.0,0.0,0,4.551,4.551,0.0
A,1988-03-10,4.0,0.0,4,4.513,4.513,2.0
A,1988-03-11,1.5,0.0,1.5,4.475,4.475,0.75
A,1988-03-12,5.199999809,0.0,5.199999809,4.437,4.437,2.5999999045
A,1988-03-13,1.799999952,0.0,1.799999952,4.399,4.399,0.899999976
A,1988-03-14,0.0,0.0,0,4.362,4.362,0.0
A,1988-03-15,0.0,0.0,0,4.324,4.324,0.0
A,1988-03-16,0.0,0.0,0,4.286,4.286,0.0
A,1988-03-17,0.0,0.0,0,4.225,4.225,0.0
A,1988-03-18,0.0,0.0,0,4.164,4.164,0.0
A,1988-03-19,0.0,0.0,0,4.104,4.104,0.0
A,1988-03-20,0.0,0.0,0,4.043,4.043,0.0
A,1988-03-21,0.0,0.0,0,3.983,3.983,0.0
A,1988-03-22,0.0,0.0,0,3.922,3.922,0.0
A,1988-03-23,0.0,0.0,0,3.861,3.861,0.0
