(1)ClimateZone,(2)Date,(3)T.Max,(4)T.Min,(5)Rain,(6)Evap,(7)Radn,Mean_Temp
A,1985-10-02,0.0,0.0,0,3.108,3.108,0.0
A,1985-10-03,0.0,0.0,0,3.153,3.153,0.0
A,1985-10-04,3.950000048,0.0,3.950000048,3.197,3.197,1.975000024
A,1985-10-05,0.0,0.0,0,3.242,3.242,0.0
A,1985-10-06,0.100000001,0.0,0.100000001,3.287,3.287,0.0500000005
A,1985-10-07,0.0,0.0,0,3.332,3.332,0.0
A,1985-10-08,0.0,0.0,0,3.376,3.376,0.0
A,1985-10-09,0.0,0.0,0,3.421,3.421,0.0
A,1985-10-10,0.850000024,0.0,0.850000024,3.466,3.466,0.425000012
A,1985-10-11,1.950000048,0.0,1.950000048,3.511,3.511,0.975000024
A,1985-10-12,0.100000001,0.0,0.100000001,3.555,3.555,0.0500000005
A,1985-10-13,0.0,0.0,0,3.6,3.6,0.0
A,1985-10-14,1.450000048,0.0,1.450000048,3.645,3.645,0.725000024
A,1985-10-15,13.60000038,0.0,13.60000038,3.689,3.689,6.80000019
A,1985-10-16,5.599999905,0.0,5.599999905,3.734,3.734,2.7999999525
A,1985-10-17,7.0,0.0,7,3.777,3.777,3.5
A,1985-10-18,2.349999905,0.0,2.349999905,3.82,3.82,1.1749999525
A,1985-10-19,0.0,0.0,0,3.863,3.863,0.0
A,1985-10-20,0.0,0.0,0,3.906,3.906,0.0
A,1985-10-21,1.899999976,0.0,1.899999976,3.949,3.949,0.949999988
A,1985-10-22,11.55000019,0.0,11.55000019,3.992,3.992,5.775000095
A,1985-10-23,7.25,0.0,7.25,4.034,4.034,3.625
A,1985-10-24,0.350000024,0.0,0.350000024,4.077,4.077,0.175000012
A,1985-10-25,0.0,0.0,0,4.12,4.12,0.0
A,1985-10-26,0.0,0.0,0,4.163,4.163,0.0
A,1985-10-27,0.0,0.0,0,4.206,4.206,0.0
A,1985-10-28,0.5,0.0,0.5,4.249,4.249,0.25
A,1985-10-29,0.050000001,0.0,0.050000001,4.292,4.292,0.0250000005
A,1985-10-30,0.0,0.0,0,4.335,4.335,0.0
A,1985-10-31,0.0,0.0,0,4.377,4.377,0.0
A,1986-10-01,1.099999905,0.0,1.099999905,2.988,2.988,0.5499999525
A,1986-10-02,0.300000012,0.0,0.300000012,3.026,3.026,0.150000006
A,1986-10-03,0.0,0.0,0,3.063,3.063,0.0
A,1986-10-04,0.0,0.0,0,3.101,3.101,0.0
A,1986-10-05,10.10000038,0.0,10.10000038,3.139,3.139,5.05000019
A,1986-10-06,1.299999952,0.0,1.299999952,3.176,3.176,0.649999976
A,1986-10-07,0.0,0.0,0,3.214,3.214,0.0
A,1986-10-08,1.799999952,0.0,1.799999952,3.251,3.251,0.899999976
A,1986-10-09,0.050000001,0.0,0.050000001,3.289,3.289,0.0250000005
A,1986-10-10,1.25,0.0,1.25,3.327,3.327,0.625
A,1986-10-11,0.449999988,0.0,0.449999988,3.364,3.364,0.224999994
A,1986-10-12,0.050000001,0.0,0.050000001,3.402,3.402,0.0250000005
A,1986-10-13,8.899999619,0.0,8.899999619,3.439,3.439,4.4499998095
A,1986-10-14,1.799999952,0.0,1.799999952,3.477,3.477,0.899999976
A,1986-10-15,0.850000024,0.0,0.850000024,3.514,3.514,0.425000012
A,1986-10-16,0.0,0.0,0,3.552,3.552,0.0
A,1986-10-17,3.349999905,0.0,3.349999905,3.601,3.601,1.6749999525
A,1986-10-18,12.39999962,0.0,12.39999962,3.65,3.65,6.19999981
A,1986-10-19,4.650000095,0.0,4.650000095,3.699,3.699,2.3250000475
A,1986-10-20,1.649999976,0.0,1.649999976,3.748,3.748,0.824999988
A,1986-10-21,17.29999924,0.0,17.29999924,3.797,3.797,8.64999962
